Número Cadastro;Número de Matrícula;Localizacao terreno;Id Zona;Quadra;Lote;Id Rua;Imóvel Número;Testada;Área do Terreno
149;28.951;2 - Interno;02/02/2025;7;04;1 - RUA ARMINHO MIOTTO;1516;20;791,4
1384;;3 - Esquina 2 ou + Frent;01/01/2025;6;07;1 - RUA ARMINHO MIOTTO;1442;15,25;388,87
983;;3 - Esquina 2 ou + Frent;02/02/2025;7;08;1 - RUA ARMINHO MIOTTO;1584;20;460
739;;2 - Interno;01/01/2025;7;03;1 - RUA ARMINHO MIOTTO;1490;20,7;816,69
899;;3 - Esquina 2 ou + Frent;02/02/2025;9;01A;1 - RUA ARMINHO MIOTTO;0;34,2;684
822;;2 - Interno;01/01/2025;6;03;1 - RUA ARMINHO MIOTTO;1372;20;800
1353;;3 - Esquina 2 ou + Frent;02/02/2025;9;05;1 - RUA ARMINHO MIOTTO;1671;30;791,13
103;;2 - Interno;02/02/2025;10;12;1 - RUA ARMINHO MIOTTO;0;19,74;732,28
64;;2 - Interno;02/02/2025;7;05;1 - RUA ARMINHO MIOTTO;1532;19,9;801,39
1338;;2 - Interno;02/02/2025;8;06;11 - RUA DR. GODOY                           ;0;20;800
753;;2 - Interno;01/01/2025;6;08B;10 - RUA MARECHAL HERMES                     ;343;13;379
737;;2 - Interno;02/02/2025;8;02;9 - RUA FARRAPOS                            ;325;20;800
600;;3 - Esquina 2 ou + Frent;02/02/2025;10;08;1 - RUA ARMINHO MIOTTO;0;25,45;450,46
864;;2 - Interno;01/01/2025;10;12A;1 - RUA ARMINHO MIOTTO;1499;19,74;728,84
809;;2 - Interno;02/02/2025;9;02;7 - RUA AFONSO PENA;1120;16,5;300
1456;;2 - Interno;02/02/2025;9;01;11 - RUA DR. GODOY                           ;0;14;560
3159;;2 - Interno;03/03/2025;8;05.1;11 - RUA DR. GODOY                           ;0;17,29;767,68
609;;3 - Esquina 2 ou + Frent;01/01/2025;6;14;13 - RUA CORONEL BENTO GONÇALVES             ;302;56,35;799,21
984;;2 - Interno;02/02/2025;8;04;1 - RUA ARMINHO MIOTTO;0;20;800
268;;2 - Interno;02/02/2025;7;11;4 - RUA PINHEIRO MACHADO;835;17,07;343,04
1789;;2 - Interno;01/01/2025;6;12;4 - RUA PINHEIRO MACHADO;689;13;520
360;;3 - Esquina 2 ou + Frent;01/01/2025;7;01;1 - RUA ARMINHO MIOTTO;1454;20;466
2044;;2 - Interno;02/02/2025;10;07A;11 - RUA DR. GODOY                           ;0;14,05;278,19
521;;2 - Interno;01/01/2025;6;11;4 - RUA PINHEIRO MACHADO;669;33,3;1352,53
518;;2 - Interno;02/02/2025;10;11;1 - RUA ARMINHO MIOTTO;0;20,17;769,33
1203;;2 - Interno;02/02/2025;6;08;10 - RUA MARECHAL HERMES                     ;0;11,08;448,22
557;;2 - Interno;02/02/2025;7;07;1 - RUA ARMINHO MIOTTO;1566;20;799,54
263;;2 - Interno;02/02/2025;9;03A;9 - RUA FARRAPOS                            ;455;13,5;532
269;;2 - Interno;02/02/2025;7;12;4 - RUA PINHEIRO MACHADO;0;19,57;791,83
65;;2 - Interno;02/02/2025;7;12A;4 - RUA PINHEIRO MACHADO;0;19,59;794,13
1318;;3 - Esquina 2 ou + Frent;02/02/2025;8;07;4 - RUA PINHEIRO MACHADO;845;22,5;450
452;;2 - Interno;01/01/2025;10;02;7 - RUA AFONSO PENA;0;20,6;558,53
2099;;2 - Interno;01/01/2025;10;13;1 - RUA ARMINHO MIOTTO;0;19,89;855,71
813;;2 - Interno;01/01/2025;10;13;1 - RUA ARMINHO MIOTTO;0;19,89;855,71
1386;;3 - Esquina 2 ou + Frent;01/01/2025;6;07;1 - RUA ARMINHO MIOTTO;1442;15,25;388,87
272;;2 - Interno;02/02/2025;6;08A;10 - RUA MARECHAL HERMES                     ;319;16,16;400,47
313;;3 - Esquina 2 ou + Frent;02/02/2025;7;15;4 - RUA PINHEIRO MACHADO;775;20;400
722;;2 - Interno;01/01/2025;6;13;4 - RUA PINHEIRO MACHADO;0;18,31;726,68
293;;3 - Esquina 2 ou + Frent;01/01/2025;10;01;10 - RUA MARECHAL HERMES                     ;0;20;520
491;;2 - Interno;02/02/2025;9;05A;1 - RUA ARMINHO MIOTTO;1655;8;440,95
280;;2 - Interno;01/01/2025;6;02;1 - RUA ARMINHO MIOTTO;1348;20,2;822,83
387;;2 - Interno;01/01/2025;6;12;4 - RUA PINHEIRO MACHADO;639;15;600
719;35.920;2 - Interno;01/01/2025;6;13;4 - RUA PINHEIRO MACHADO;529;18,31;453,54
999;;2 - Interno;02/02/2025;7;11A;4 - RUA PINHEIRO MACHADO;831;20;400
1274;;3 - Esquina 2 ou + Frent;01/01/2025;6;01;1 - RUA ARMINHO MIOTTO;0;21,77;1269,79
3421;35.922;2 - Interno;01/01/2025;6;13;4 - RUA PINHEIRO MACHADO;529;18,31;36,47
2200;;2 - Interno;02/02/2025;10;05;7 - RUA AFONSO PENA;1036;20;720
1221;;2 - Interno;01/01/2025;10;03;7 - RUA AFONSO PENA;988;24,5;882
1887;;2 - Interno;01/01/2025;6;01B;1 - RUA ARMINHO MIOTTO;1308;14;560,11
267;;2 - Interno;02/02/2025;9;04;9 - RUA FARRAPOS                            ;443;13;402,76
880;28.793;2 - Interno;02/02/2025;7;16;10 - RUA MARECHAL HERMES                     ;354;15;300
778;;2 - Interno;02/02/2025;10;06;7 - RUA AFONSO PENA;1044;20;763,77
898;;2 - Interno;02/02/2025;9;01;7 - RUA AFONSO PENA;1102;17,5;420
1220;;2 - Interno;01/01/2025;10;03;7 - RUA AFONSO PENA;1000;15,5;558
875;;2 - Interno;02/02/2025;6;10;4 - RUA PINHEIRO MACHADO;0;14,56;351
1163;;5 - Encravado;02/02/2025;9;01A;9 - RUA FARRAPOS                            ;0;0;159,57
542;;2 - Interno;02/02/2025;7;14;4 - RUA PINHEIRO MACHADO;795;21;846,97
386;;2 - Interno;02/02/2025;10;10;1 - RUA ARMINHO MIOTTO;1555;20,51;732,26
122;;2 - Interno;02/02/2025;7;09;11 - RUA DR. GODOY                           ;0;20;796,59
754;;3 - Esquina 2 ou + Frent;02/02/2025;6;09;4 - RUA PINHEIRO MACHADO;755;25,44;361,91
1277;22.699;2 - Interno;01/01/2025;6;01C;13 - RUA CORONEL BENTO GONÇALVES             ;0;18,67;741,87
1251;;2 - Interno;02/02/2025;8;08;4 - RUA PINHEIRO MACHADO;881;20;400
3183;;2 - Interno;01/01/2025;7;17B;10 - RUA MARECHAL HERMES                     ;344;15,31;130,92
921;;2 - Interno;01/01/2025;6;05;1 - RUA ARMINHO MIOTTO;1404;13;520
1590;;2 - Interno;02/02/2025;8;05;9 - RUA FARRAPOS                            ;337;13,5;259,5
1067;35.665;3 - Esquina 2 ou + Frent;02/02/2025;7;10;11 - RUA DR. GODOY                           ;0;20;450
779;;2 - Interno;02/02/2025;10;09;1 - RUA ARMINHO MIOTTO;0;20;727,9
1314;;3 - Esquina 2 ou + Frent;02/02/2025;8;05;1 - RUA ARMINHO MIOTTO;1650;41,05;806,1
1103;28.822 RI Encantado/RS;2 - Interno;02/02/2025;10;05;7 - RUA AFONSO PENA;1036;20;720
1387;;2 - Interno;01/01/2025;6;06;1 - RUA ARMINHO MIOTTO;0;12;326,32
1482;;2 - Interno;02/02/2025;9;01B;11 - RUA DR. GODOY                           ;486;14;519,4
1392;31204;2 - Interno;01/01/2025;7;17A;10 - RUA MARECHAL HERMES                     ;354;15,31;301,95
1017;;3 - Esquina 2 ou + Frent;02/02/2025;8;03;1 - RUA ARMINHO MIOTTO;0;26,5;451,49
1403;;2 - Interno;02/02/2025;8;07;4 - RUA PINHEIRO MACHADO;0;15;300
1395;;2 - Interno;01/01/2025;7;02;1 - RUA ARMINHO MIOTTO;0;20,7;817,91
450;;2 - Interno;01/01/2025;10;02;7 - RUA AFONSO PENA;960;20;600
155;;2 - Interno;02/02/2025;10;04;7 - RUA AFONSO PENA;1008;20;718,36
825;;2 - Interno;02/02/2025;7;13;4 - RUA PINHEIRO MACHADO;815;20;805,66
262;31.746;3 - Esquina 2 ou + Frent;02/02/2025;9;03;7 - RUA AFONSO PENA;1140;18;468
599;;3 - Esquina 2 ou + Frent;02/02/2025;10;07;11 - RUA DR. GODOY                           ;0;22,75;450,45
2045;;2 - Interno;02/02/2025;10;07B;11 - RUA DR. GODOY                           ;0;14;253,15
1273;;2 - Interno;01/01/2025;6;01A;1 - RUA ARMINHO MIOTTO;1328;14;573,92
1391;35.873 RI Encantado;3 - Esquina 2 ou + Frent;02/02/2025;8;01;4 - RUA PINHEIRO MACHADO;0;22,5;450
3203;;2 - Interno;02/02/2025;9;05A;1 - RUA ARMINHO MIOTTO;1655;8;440,95
1460;16.549 RI Guaporé;3 - Esquina 2 ou + Frent;02/02/2025;9;01;11 - RUA DR. GODOY                           ;456;24;480
1859;;3 - Esquina 2 ou + Frent;01/01/2025;10;14A;10 - RUA MARECHAL HERMES                     ;396;24,61;293,52
275;23.444;2 - Interno;02/02/2025;7;06;1 - RUA ARMINHO MIOTTO;1554;20;1200
241;23.704;2 - Interno;01/01/2025;10;15;10 - RUA MARECHAL HERMES                     ;0;20,49;425,31
981;;3 - Esquina 2 ou + Frent;01/01/2025;10;14B;1 - RUA ARMINHO MIOTTO;0;24,61;229,83
384;;2 - Interno;02/02/2025;10;10;1 - RUA ARMINHO MIOTTO;0;20,51;732,96
720;35.921;2 - Interno;01/01/2025;6;13;4 - RUA PINHEIRO MACHADO;529;18,31;17,2
721;;2 - Interno;01/01/2025;6;13;4 - RUA PINHEIRO MACHADO;0;18,31;36,47
372;36.500;2 - Interno;01/01/2025;6;04;1 - RUA ARMINHO MIOTTO;1388;20;800
1539;;2 - Interno;02/02/2025;7;08A;11 - RUA DR. GODOY                           ;0;17;340
