COD_MUNICIPIO;COD_UNICO_ENDERECO;ID_QUADRA;NOM_LOGRADOURO;NUM_ENDERECO;NOM_LOGRADOURO_ADJACENTE;DIM_TESTADA;DIM_PROFUNDIDADE
4104501;134830-2;01.01.004.0.0051;AV. INDEPENDENCIA;505;;10;116.00
4104501;127051-2;01.03.002.0.0084;RUA CARAMURUS;48>;;10;100.00
4104501;11428-3;01.01.002.0.0031;AV. BRASIL;970;;10;302.58
4104501;18520-2;01.06.004.1.0002;RUA DIONISIO WONS;1108;;10;25.00
4104501;18732-2;01.06.004.1.0004;RUA TERRITORIO DO ACRE;847;;10;25.00
4104501;19054-2;01.05.004.1.0006;RUA GUAIRACAS;2326;;10;50.00
4104501;42676-1;01.05.004.1.0007;RUA TUPINAMBAS;2150;;10;25.00
4104501;138029-1;01.05.004.1.0058;AV. INDEPENDENCIA;2413;;10;73.00
4104501;1228-2;01.03.001.1.0011;RUA PADRE CIRILO;2651;;10;102.00
4104501;105848-1;01.04.001.2.071A;RUA CARAZINHO;78;;10;35.20
4104501;47112-1;01.05.004.0.0035;RUA PERNAMBUCO;1700;;10;28.46
4104501;112429-2;01.03.004.0.0050;RUA GUAIRACAS;480;;10;86.50
4104501;139289-2;01.01.004.0.0038;RUA PERNAMBUCO;1220;;10;72.00
4104501;138266-5;01.01.002.0.0011;AV. BRASIL;714;;10;137.30
4104501;138371-4;01.01.002.0.0011;AV. BRASIL;706;;10;137.30
4104501;8974-4;01.01.002.0.0011;AV. BRASIL;710;;10;137.30
4104501;138274-4;01.01.002.0.0011;AV. BRASIL;722;;10;137.30
4104501;138339-3;01.01.002.0.0011;RUA TAMOIOS;1164;;10;137.30
4104501;138479-4;01.01.002.0.0011;AV. BRASIL;706;;10;137.30
4104501;138495-4;01.01.002.0.0011;AV. BRASIL;706;;10;137.30
4104501;37800-2;01.01.002.0.0021;RUA AIMORES; 1353;;10;62.40
4104501;37796-2;01.01.002.0.0021;RUA AIMORES; 1353;;10;62.40
4104501;11479-2;01.01.002.0.0032;RUA OTAVIO FRANCISCO DE MATTOS;533;;10;20.00
4104501;130648-3;01.02.002.0.0042;RUA LUIZ GERALDO HOLLEN;181;;10;100.00
4104501;35556-1;01.01.001.0.0027;AV.  GOV.PEDRO V P DE SOUZA;1151;;10;54.20
4104501;123781-1;01.04.002.12.0304;RUA BETO MARCELLO;1177;;10;30.00
4104501;103942-1;01.04.002.12.0401;RUA LUIZ CAMPAGNOLO;1227;;10;22.95
4104501;133787-1;01.04.002.4.CHAC;RUA NILO ADELVINO BERTICELLI;540;;10;200.00
4104501;133752-1;01.04.002.4.CHAC;RUA NILO ADELVINO BERTICELLI;552;;10;200.00
4104501;121134-1;01.04.002.12.0298;RUA NATALINO CENSI;1077;;10;30.00
4104501;140449-1;01.06.002.3.CHAC;AV. RIO GRANDE DO SUL;S/N;;10;1400.00
4104501;141844-0;01.04.002.3.0131;RUA GENTIL ALCHIERI;661;;10;27.60
4104501;5207-1;01.03.001.2.0043;RUA LUIZ GERALDO HOLLEN;1232;;10;50.00
4104501;18163-8;01.02.003.0.0002;AV. ESPIRITO SANTO;1205;;10;1200.00
4104501;18261-1;01.06.003.0.0003;RUA TUPINAMBAS;37;;10;45.00
4104501;31925-1;01.01.001.0.0026;RUA TAMOIOS;537;;10;50.00
4104501;6246-1;01.03.001.0.0050;RUA OTAVIO FRANCISCO DE MATTOS;1202;;10;200.00
4104501;86452-1;01.04.002.3.0045;RUA  DR.LEOPOLDO SCHMIDT;571;;10;68.00
4104501;8206-1;01.02.002.0.0004;AV. ESPIRITO SANTO;595;;10;152.50
4104501;6866-1;01.03.001.0.0054;RUA OTAVIO FRANCISCO DE MATTOS;1038;;10;120.00
4104501;31453-1;01.04.002.3.CHAC;RUA MINAS GERAIS;629;;10;793.60
4104501;47295-1;01.03.001.0.0050;RUA LUIZ GERALDO HOLLEN;999;;10;50.00
4104501;2992-1;01.01.001.0.0026;RUA BAHIA;933;;10;110.00
4104501;36862-1;01.03.001.998.0085;RUA TAMOIOS;s/n;;10;410.75
4104501;85987-2;01.01.001.0.0027;AV.  GOV.PEDRO V P DE SOUZA;1131;;10;90.00
4104501;21865-1;01.03.004.1.0026;RUA PIAUI;593;;10;60.00
4104501;14028-1;01.03.002.3.0053;RUA SANTA CATARINA;3816;;10;90.00
4104501;13561-1;01.05.002.3.0048;RUA OIAPOS;s/n;;10;100.00
4104501;46833-1;01.01.001.0.0028;AV. BRASIL;342;;10;44.36
4104501;13129-1;01.04.002.3.0046;AV. PARANA;434;;10;68.84
4104501;50369-0;02.06.005.0.0008;SAO LUIZ;0;;10;60.00
4104501;6807-1;01.03.001.0.0054;AV ESPIRITO SANTO;988;;10;45.00
4104501;34894-2;01.01.001.0.0028;RUA PADRE CIRILO;1436;;10;40.00
4104501;136891-0;01.04.002.12.0288;RUA IRAJÁ;1314;;10;28.26
4104501;39055-1;01.06.003.0.0021;RUA DOS LIRIOS;285;;10;35.72
4104501;3395-1;01.01.001.0.0030;RUA AIMORES;1681;;10;180.00
4104501;139726-0;01.04.004.0.CHAC;RUA MARTIN NOTTAR;401;;10;39.38
4104501;140899-2;01.04.002.3.0075;RUA DA PAZ;1165;;10;30.45
4104501;120022-0;01.03.001.0.CHAC;RUA ANTONIO NIEHUES;825;;10;28.69
4104501;140082-1;01.01.004.0.0043;AV. INDEPENDENCIA;951;;10;50.00
4104501;132675-1;01.06.004.1.CHAC;RUA TERRITORIO DO ACRE;630;;10;55.22
4104501;140473-17;01.05.001.1.0002;RUA DIONISIO WONS;180;;10;1694.00
4104501;140481-3;01.05.001.1.0002;RUA DIONISIO WONS;258;;10;1694.00
4104501;8443-2;01.03.002.2.0006;AV. ESPIRITO SANTO;339;;10;200.00
4104501;137545-0;01.04.002.12.0291;RUA ANAJÉ;1363;;10;28.26
4104501;23353-1;01.04.004.0.0037;RUA PERNAMBUCO;1392;;10;45.00
4104501;11720-1;01.03.002.0.0034;RUA LUIZ GERALDO HOLLEN;306;;10;150.00
4104501;109436-3;01.03.003.4.0110;RUA PALMAS;517;;10;23.98
4104501;139408-2;01.03.002.3.0066;RUA CARAMURUS;239;;10;50.00
4104501;16616-2;01.04.002.3.0089;RUA OIAPOS;174;;10;100.00
4104501;4502-1;01.04.001.2.0039;AV. BOTUCARIS;1585;;10;50.00
4104501;12076-0;01.04.002.3.0037;RUA OTAVIO KISCHNER;314;;10;120.00
4104501;86266-2;01.05.004.1.0006;RUA TUPINAMBAS;2225;;10;60.00
4104501;37826-14;01.04.002.3.CHAC;RUA MINAS GERAIS; 761;;10;2253.00
4104501;37826-7;01.04.002.3.CHAC;RUA MINAS GERAIS; 761;;10;2253.00
4104501;37826-18;01.04.002.3.CHAC;RUA MINAS GERAIS; 761;;10;2253.00
4104501;50024-4;02.06.005.11.0002;AVENIDA MARECHAL FLORIANO;0;;10;160.17
4104501;37940-1;01.06.001.2.0083;AV. GERALDO FULBER;1355;;10;60.00
4104501;106097-1;01.04.001.2.074A;RUA GUAIBA;598;;10;39.24
4104501;124567-1;01.03.001.0.0016;RUA PARAIBA;928;;10;50.00
4104501;33766-1;01.05.001.1.0006;RUA PARA;80;;10;50.00
4104501;33782-1;01.02.004.0.0034;AV. INDEPENDENCIA;1217;;10;50.00
4104501;141593-2;01.03.001.2.0055;RUA LUIZ GERALDO HOLLEN;830;;10;120.00
