SC_ID_LOGRADOURO,NOM_LOGRADOURO,OSM_NOM_LOGRADOURO
0E9A43FC,"RUA TAPAJOS","Rua Tapajós"
1558A9D1,"AVENIDA UBIRAJARAS","Avenida Ubirajaras"
37EBE4BB,"RUA GUARANI","Rua Guaranis"
5C81EDF2,"RUA MARANHAO","Rua Maranhão"
6B8E7F2D,"RUA MINAS GERAIS","Rua Minas Gerais"
736565AB,"RUA LUIZ GERALDO HOLLEN","Rua Luiz Geraldo Hollen"
9003F37C,"AVENIDA PARANA","Avenida Paraná"
9E705E10,"RUA OTAVIO KISCHNER","Rua Otavio Kischner"
E544EA7B,"RUA OTAVIO FRANCISCO DE MATTOS","Rua Otávio Francisco de Mattos"
EF2B51D7,"RUA PARA","Rua Pará"
F0D334EC,"RUA CARAMURUS","Rua Caramurus"
F54DE0AF,"RUA SANTA CATARINA","Rua Santa Catarina"
