COD_MUNICIPIO,COD_UNICO_ENDERECO,ID_QUADRA,ID_FACE,NOM_LOGRADOURO,NUM_ENDERECO,LATITUDE,LONGITUDE
4104501,01.04.002.3.0133.0700,01.04.002.3.0133,0,RUA GENTIL ALCHIERI,764,-25.6710991,-53.8104569
4104501,01.04.001.2.0108.1000,01.04.001.2.0108,0,RUA GUAJUVIRA,2010,-25.6705789,-53.79200609999999
4104501,01.04.001.2.0108.0900,01.04.001.2.0108,0,RUA GUAJUVIRA,2018,-25.6705433,-53.7919952
4104501,01.04.001.2.0108.0800,01.04.001.2.0108,0,RUA GUAJUVIRA,2030,-25.6703645,-53.79194
4104501,01.04.001.2.0108.0700,01.04.001.2.0108,0,RUA GUAJUVIRA,2044,-25.6702934,-53.7919181
4104501,01.04.001.2.0108.0600,01.04.001.2.0108,0,RUA GUAJUVIRA,2056,-25.6702221,-53.7918961
4104501,01.04.001.2.0110.1000,01.04.001.2.0110,0,RUA GUAJUVIRA,2134,-25.6695278,-53.79168199999999
4104501,01.04.001.2.0110.0900,01.04.001.2.0110,0,RUA GUAJUVIRA,2150,-25.6694308,-53.79143010000001
4104501,01.04.001.2.0110.0800,01.04.001.2.0110,0,RUA GUAJUVIRA,2166,-25.6691658,-53.7915703
4104501,01.04.002.12.0416.020A,01.04.002.12.0416,0,"RUA HERMINIA BARBIERI BIGATON",1026,-25.6898511,-53.7792281
4104501,01.04.002.12.0416.010H,01.04.002.12.0416,0,"RUA HERMINIA BARBIERI BIGATON",1036,-25.6898511,-53.7792281
4104501,01.04.002.12.0412.0800,01.04.002.12.0412,0,"RUA HERMINIA BARBIERI BIGATON",1294,-25.6895163,-53.7793463
4104501,01.04.002.12.0412.0700,01.04.002.12.0412,0,"RUA HERMINIA BARBIERI BIGATON",1288,-25.689514,-53.7793486
4104501,01.04.002.12.0413.0900,01.04.002.12.0413,0,"RUA HERMINIA BARBIERI BIGATON","1242",-25.689496,-53.7793663
4104501,01.04.002.12.0413.0800,01.04.002.12.0413,0,"RUA HERMINIA BARBIERI BIGATON",1230,-25.6894913,-53.7793709
4104501,01.04.002.12.0414.0800,01.04.002.12.0414,0,"RUA HERMINIA BARBIERI BIGATON","1178",-25.6894709,-53.7793909
4104501,01.04.002.12.0415.0600,01.04.002.12.0415,0,"RUA HERMINIA BARBIERI BIGATON",1102,-25.6894412,-53.7794201
4104501,01.04.002.12.0412.1000,01.04.002.12.0412,0,"RUA HERMINIA BARBIERI BIGATON",1326,-25.6888186,-53.77951710000001
