OSM_ID;SC_ID_LOGRADOURO;NOM_LOGRADOURO;OSM_NOM_LOGRADOURO;WKT
251167825;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.7995416 -25.6650142, -53.7998816 -25.6661948, -53.800244 -25.6673864, -53.8006189 -25.6686194)
548886374;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.8045387 -25.6821222, -53.8045992 -25.6820196, -53.8046019 -25.6819423, -53.8045804 -25.6818528, -53.8042263 -25.6807077, -53.8039111 -25.6796913, -53.8038931 -25.6796331, -53.8038465 -25.6794827, -53.8030466 -25.676903, -53.8026831 -25.6757306, -53.8023246 -25.6745743, -53.8022903 -25.6744623, -53.8021961 -25.6741463, -53.8019928 -25.673464, -53.8019521 -25.673337, -53.8015916 -25.6722108, -53.8015554 -25.6720938, -53.8012486 -25.6711035, -53.8008634 -25.6698613, -53.8007478 -25.6694883, -53.8004883 -25.6686514)
548886375;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.7987519 -25.6625149, -53.7988769 -25.6629204, -53.7989988 -25.6633234, -53.7992064 -25.6639373, -53.7993352 -25.6643979, -53.7994599 -25.6648445)
548886376;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.8004883 -25.6686514, -53.8001122 -25.6674191, -53.7997491 -25.6662294, -53.7993878 -25.6650456)
548886378;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.8006189 -25.6686194, -53.8009904 -25.6698296, -53.8013717 -25.671072, -53.801651 -25.6719822, -53.8016761 -25.6720638, -53.801712 -25.6721807, -53.8020694 -25.6733103, -53.8021084 -25.6734337, -53.8023096 -25.6741152, -53.8024039 -25.6744345, -53.8027935 -25.6757049, -53.8031532 -25.6768767, -53.8035364 -25.6781216, -53.8037454 -25.6788062, -53.8038012 -25.678988, -53.8039451 -25.6794567, -53.8039917 -25.6796084, -53.8043213 -25.6806826, -53.804677 -25.6817882, -53.8047045 -25.6818758, -53.8047116 -25.6820307)
548886379;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.8047116 -25.6820307, -53.8046234 -25.6822383)
950386460;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.7993878 -25.6650456, -53.7994599 -25.6648445)
950386461;2C686C6D;AVENIDA BOTUCARIS;Avenida Botucaris;LINESTRING (-53.7994599 -25.6648445, -53.7995416 -25.6650142)
1363390292;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8114217 -25.6754535, -53.811611 -25.6760847, -53.8118197 -25.6767804, -53.8120163 -25.6774354)
256027282;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8050527 -25.6546294, -53.8054782 -25.6559943, -53.805909 -25.6573879, -53.8061239 -25.658084, -53.806335 -25.6587672, -53.8064772 -25.6592258, -53.8065798 -25.6595567, -53.8067666 -25.6601591, -53.8069903 -25.660879, -53.8071956 -25.6615614, -53.8075033 -25.6625863, -53.8075568 -25.6627646, -53.807611 -25.6629456, -53.8079848 -25.6641754, -53.8083617 -25.6653895, -53.8086572 -25.6663907, -53.8087256 -25.6666162)
256027284;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8085912 -25.6666495, -53.8081833 -25.6654433, -53.8078373 -25.6642124, -53.8075015 -25.6631062, -53.8074652 -25.6629825, -53.8074127 -25.6628033, -53.8073663 -25.6626449, -53.8070589 -25.6615954, -53.8067673 -25.6606114, -53.8066419 -25.6601959, -53.80634 -25.6592602, -53.8061923 -25.6588025, -53.8059751 -25.6581291, -53.8058396 -25.6577092, -53.8057624 -25.657421, -53.8054958 -25.6565631, -53.805338 -25.6560251, -53.8048992 -25.6546597)
342635719;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8118837 -25.677476, -53.811675 -25.6768164, -53.8114595 -25.6761262, -53.8112596 -25.6754837)
491358194;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8087256 -25.6666162, -53.8089127 -25.667197, -53.8091071 -25.6678005, -53.8091441 -25.6679118, -53.809136 -25.6680181, -53.809106 -25.6681509)
548886372;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8089967 -25.6679384, -53.8089758 -25.6678333, -53.808785 -25.667246, -53.8086081 -25.6667015, -53.8085912 -25.6666495)
555661594;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8107573 -25.6736798, -53.8103561 -25.6724653, -53.8100399 -25.671447, -53.8099958 -25.6713037, -53.8096615 -25.6702173, -53.8096216 -25.6700882, -53.8096105 -25.6700524, -53.809092 -25.6683744, -53.8090614 -25.6682752)
555661595;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.809106 -25.6681509, -53.809407 -25.6690607, -53.8097198 -25.6700636, -53.80976 -25.6701924, -53.8101191 -25.6712753, -53.8101643 -25.6714117, -53.8104603 -25.6724383, -53.8107616 -25.6734043, -53.8108021 -25.6736685)
555665920;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8047199 -25.6537914, -53.8050527 -25.6546294)
555665921;083D97F0;AVENIDA INDEPENDENCIA;Avenida Independência;LINESTRING (-53.8048992 -25.6546597, -53.8047199 -25.6537914)
250954675;9003F37C;AVENIDA PARANA;Avenida Paraná;LINESTRING (-53.7955279 -25.6815928, -53.7966813 -25.6813021, -53.7978304 -25.6810125, -53.7985027 -25.6808431, -53.7992374 -25.6806579, -53.7999361 -25.6804818, -53.801064 -25.6801977, -53.8022315 -25.6799038, -53.8023585 -25.6798714, -53.8038465 -25.6794827, -53.8039451 -25.6794567, -53.804675 -25.6792806, -53.8052646 -25.6791365, -53.8057439 -25.6790162, -53.8059199 -25.678969, -53.8066346 -25.6787937, -53.8080702 -25.6784319, -53.8094137 -25.6780933, -53.8100752 -25.6779209, -53.8107729 -25.6777391)
298288728;9003F37C;AVENIDA PARANA;Avenida Paraná;LINESTRING (-53.8108103 -25.6778927, -53.81012 -25.6780615, -53.8094536 -25.6782244, -53.8081104 -25.678564, -53.806674 -25.678927, -53.8058725 -25.6791297, -53.8056955 -25.6791741, -53.8053082 -25.6792759, -53.8047097 -25.6794251, -53.8039917 -25.6796084, -53.8038931 -25.6796331, -53.8023996 -25.6800076, -53.8022714 -25.6800403, -53.801106 -25.6803347, -53.7999785 -25.6806195, -53.799287 -25.6807943, -53.798545 -25.6809819, -53.7978719 -25.681152, -53.7967234 -25.6814423, -53.7955719 -25.6817334)
491353794;02443DBB;AVENIDA RIO GRANDE DO SUL;Avenida Rio Grande do Sul;LINESTRING (-53.7888828 -25.6856962, -53.7882471 -25.6859125, -53.7876557 -25.6861603, -53.7870736 -25.6864407, -53.7865627 -25.686715, -53.786131 -25.6869561, -53.7855677 -25.6873561, -53.7850231 -25.6877689, -53.7845334 -25.6882264, -53.7836762 -25.6890781, -53.7828741 -25.6899117, -53.7821209 -25.6907093, -53.781779 -25.6910743)
530873400;02443DBB;AVENIDA RIO GRANDE DO SUL;Avenida Rio Grande do Sul;LINESTRING (-53.8046234 -25.6822383, -53.8043226 -25.6823271, -53.8031847 -25.6826106, -53.8030338 -25.6826482, -53.8019016 -25.682931, -53.8013898 -25.6830589, -53.8007504 -25.6832188, -53.7997104 -25.6834789, -53.7989733 -25.6836633, -53.7986474 -25.6837435, -53.797675 -25.6839829, -53.7975079 -25.684024, -53.7963434 -25.684308)
530873402;02443DBB;AVENIDA RIO GRANDE DO SUL;Avenida Rio Grande do Sul;LINESTRING (-53.7963085 -25.6841964, -53.7970703 -25.6840201, -53.7974677 -25.68392, -53.7986239 -25.6836289, -53.7996855 -25.6833616, -53.799928 -25.6833006, -53.8007144 -25.6831037, -53.8018661 -25.6828152, -53.8029996 -25.6825313, -53.8031495 -25.6824939, -53.8042889 -25.6822121, -53.8043282 -25.6822002, -53.8045387 -25.6821222)
640987607;02443DBB;AVENIDA RIO GRANDE DO SUL;Avenida Rio Grande do Sul;LINESTRING (-53.7956957 -25.6844186, -53.7963085 -25.6841964)
640987610;02443DBB;AVENIDA RIO GRANDE DO SUL;Avenida Rio Grande do Sul;LINESTRING (-53.7963434 -25.684308, -53.7956957 -25.6844186)
729633494;02443DBB;AVENIDA RIO GRANDE DO SUL;Avenida Rio Grande do Sul;LINESTRING (-53.8045387 -25.6821222, -53.8047116 -25.6820307)
250411531;1558A9D1;AVENIDA UBIRAJARAS;Avenida Ubirajaras;LINESTRING (-53.7979083 -25.6654107, -53.7982697 -25.6666248, -53.798636 -25.6677975, -53.7990162 -25.6689972, -53.7994051 -25.6702495, -53.7997672 -25.6714752, -53.8000891 -25.6724808, -53.8001276 -25.6725993, -53.8004635 -25.6737168, -53.8004953 -25.6738436)
250954671;1558A9D1;AVENIDA UBIRAJARAS;Avenida Ubirajaras;LINESTRING (-53.8020149 -25.6791627, -53.802161 -25.6793095, -53.8023585 -25.6798714, -53.8023996 -25.6800076, -53.8027287 -25.681099, -53.8031495 -25.6824939, -53.8031847 -25.6826106, -53.8034087 -25.6833783, -53.803549 -25.6838223, -53.8035687 -25.6838954)
298288731;1558A9D1;AVENIDA UBIRAJARAS;Avenida Ubirajaras;LINESTRING (-53.8034091 -25.6839624, -53.8033759 -25.6838517, -53.8032521 -25.6834169, -53.8030338 -25.6826482, -53.8029996 -25.6825313, -53.8025915 -25.6811351, -53.8022714 -25.6800403, -53.8022315 -25.6799038, -53.8020671 -25.6793414, -53.8020149 -25.6791627)
342633184;1558A9D1;AVENIDA UBIRAJARAS;Avenida Ubirajaras;LINESTRING (-53.8034091 -25.6839624, -53.8034391 -25.6840441, -53.8034908 -25.6841111, -53.80381 -25.6844789)
949326047;1558A9D1;AVENIDA UBIRAJARAS;Avenida Ubirajaras;LINESTRING (-53.8003597 -25.6738732, -53.8003284 -25.6737357, -53.7999927 -25.6726313, -53.7999563 -25.6725231, -53.7996333 -25.6715105, -53.7992702 -25.6702815, -53.7988818 -25.6690312, -53.7985017 -25.6678318, -53.7981355 -25.6666594, -53.7977773 -25.6654425)
949326048;1558A9D1;AVENIDA UBIRAJARAS;Avenida Ubirajaras;LINESTRING (-53.8004953 -25.6738436, -53.8007474 -25.6748395, -53.8008673 -25.6752339, -53.8017362 -25.6759574)
250954687;475A4CBA;RUA AIMORES;Rua Aimorés;LINESTRING (-53.8069533 -25.6748337, -53.8068978 -25.6746403, -53.8065599 -25.6734185, -53.8062394 -25.6724222, -53.8061955 -25.6722719, -53.8058687 -25.6711693, -53.8058313 -25.6710303, -53.8055203 -25.6700107, -53.8051479 -25.6687902)
251167837;475A4CBA;RUA AIMORES;Rua Aimorés;LINESTRING (-53.8070389 -25.6750737, -53.807284 -25.6758486, -53.8076515 -25.6770561, -53.8080702 -25.6784319, -53.8081104 -25.678564, -53.8084383 -25.6796725, -53.808633 -25.6802629, -53.808876 -25.6810201)
1363392184;6741EDC0;RUA ALAGOAS;Rua Alagoas;LINESTRING (-53.7933889 -25.6703909, -53.7933318 -25.6704169, -53.7929527 -25.6705177, -53.7920639 -25.6707572, -53.7917328 -25.6708388)
250411532;6741EDC0;RUA ALAGOAS;Rua Alagoas;LINESTRING (-53.8085912 -25.6666495, -53.8074566 -25.6669298, -53.8060932 -25.6672667, -53.8033125 -25.6679471, -53.8030786 -25.6680116, -53.8022226 -25.6682231, -53.8019614 -25.6682929, -53.8006189 -25.6686194)
251167809;6741EDC0;RUA ALAGOAS;Rua Alagoas;LINESTRING (-53.8139879 -25.6652869, -53.8127413 -25.6656207, -53.8113659 -25.6659617, -53.8100603 -25.6662853, -53.8087256 -25.6666162)
530873399;6741EDC0;RUA ALAGOAS;Rua Alagoas;LINESTRING (-53.8004883 -25.6686514, -53.7990162 -25.6689972, -53.7988818 -25.6690312, -53.7971731 -25.6694634, -53.7970133 -25.6695025, -53.7949285 -25.6700815, -53.7942472 -25.6702495, -53.7935978 -25.6703898)
548886377;6741EDC0;RUA ALAGOAS;Rua Alagoas;LINESTRING (-53.8004883 -25.6686514, -53.8006189 -25.6686194)
548886380;6741EDC0;RUA ALAGOAS;Rua Alagoas;LINESTRING (-53.8087256 -25.6666162, -53.8085912 -25.6666495)
688263159;22C42DE6;RUA ALVERINO BENATTI;Rua Alverino Benatti;LINESTRING (-53.8004733 -25.654775, -53.7999734 -25.6548998, -53.7994856 -25.6550212)
491358213;349B5C32;RUA ANAJE;Rua Anajé;LINESTRING (-53.7887573 -25.6778771, -53.789152 -25.6791206, -53.7894989 -25.6802392)
