CODIGO_CARTOGRAFICO,FACE,DIMENSAO,AZIMUTE,LAT,LNG,SC_ID_LOGRADOURO,NOM_LOGRADOURO
01.03.002.3.0065,1,139.73,285.48,-25.681026384814427,-53.80347209585091,F54DE0AF,"RUA SANTA CATARINA"
01.03.002.3.0065,2,140.39,195.32,-25.681467537947825,-53.80432903067633,2C686C6D,"AVENIDA BOTUCARIS"
01.03.002.3.0065,3,139.73,105.48,-25.6822440485898,-53.80384218675813,02443DBB,"AVENIDA RIO GRANDE DO SUL"
01.03.002.3.0065,4,140.39,15.32,-25.681802895456407,-53.80298525193272,1558A9D1,"AVENIDA UBIRAJARAS"
01.03.002.3.0053,1,139.73,285.48,-25.679895378016,-53.80313050289624,9003F37C,"AVENIDA PARANA"
01.03.002.3.0053,2,110.30,195.32,-25.680206070162406,-53.80394777539573,2C686C6D,"AVENIDA BOTUCARIS"
01.03.002.3.0053,3,139.73,105.48,-25.680852115256727,-53.80342128154258,F54DE0AF,"RUA SANTA CATARINA"
01.03.002.3.0053,4,110.30,15.32,-25.68054142311032,-53.802604009043094,1558A9D1,"AVENIDA UBIRAJARAS"
01.03.002.3.0054,1,99.81,285.48,-25.68025285308979,-53.80169314441167,9003F37C,"AVENIDA PARANA"
01.03.002.3.0054,2,110.30,195.32,-25.680611459160502,-53.80231844858375,1558A9D1,"AVENIDA UBIRAJARAS"
01.03.002.3.0054,3,99.81,105.48,-25.68120959404601,-53.80198391300836,F54DE0AF,"RUA SANTA CATARINA"
01.03.002.3.0054,4,110.30,15.32,-25.680850987975298,-53.80135860883628,F0D334EC,"RUA CARAMURUS"
01.06.004.1.0018,1,119.77,285.48,-25.657711966659267,-53.81100753106091,5C81EDF2,"RUA MARANHAO"
01.06.004.1.0018,2,140.39,195.32,-25.658177045790993,-53.811768349463804,7CE46E23,"RUA GUARANIS"
01.06.004.1.0018,3,119.77,105.48,-25.658929614326922,-53.811377600440736,3020980C,"RUA PIAUI"
01.06.004.1.0018,4,140.39,15.32,-25.658464535195197,-53.81061678203784,0E9A43FC,"RUA TAPAJOS"
01.05.004.1.0019,1,119.77,285.48,-25.65804105211099,-53.8096683362085,5C81EDF2,"RUA MARANHAO"
01.05.004.1.0019,2,140.39,195.32,-25.6585061384776,-53.81042915234269,0E9A43FC,"RUA TAPAJOS"
01.05.004.1.0019,3,119.77,105.48,-25.659258704187394,-53.8100383936695,3020980C,"RUA PIAUI"
01.05.004.1.0019,4,140.39,15.32,-25.658793617820784,-53.809277577535305,E12A8086,"RUA GUAIRACAS"
01.04.004.1.0022,1,119.77,285.48,-25.658706443844636,-53.8069787763493,5C81EDF2,"RUA MARANHAO"
01.04.004.1.0022,2,140.39,195.32,-25.659171544738463,-53.80773958795577,B6AB9351,"RUA TUPINAMBAS"
01.04.004.1.0022,3,119.77,105.48,-25.659924104771726,-53.807348809889916,3020980C,"RUA PIAUI"
01.04.004.1.0022,4,140.39,15.32,-25.6594590038779,-53.80658799828345,083D97F0,"AVENIDA INDEPENDENCIA"
01.06.004.1.0023,1,119.77,285.48,-25.659093075087345,-53.81143203664925,3020980C,"RUA PIAUI"
01.06.004.1.0023,2,140.38,195.32,-25.659558151051492,-53.81219286580252,7CE46E23,"RUA GUARANIS"
01.06.004.1.0023,3,119.77,105.48,-25.66031072075485,-53.811802115941376,1C2CD413,"RUA CEARA"
01.06.004.1.0023,4,140.39,15.32,-25.659845644790703,-53.81104128678811,0E9A43FC,"RUA TAPAJOS"
01.04.004.1.0029,1,119.77,285.48,-25.6611535183931,-53.80918505710048,1C2CD413,"RUA CEARA"
01.04.004.1.0029,2,140.39,195.32,-25.661618605610002,-53.80994589263298,E12A8086,"RUA GUAIRACAS"
01.04.004.1.0029,3,119.77,105.48,-25.66237117084672,-53.80955512262068,90AD120A,"RUA RIO GRANDE DO NORTE"
01.04.004.1.0029,4,140.39,15.32,-25.661906083629823,-53.80879428708816,B6AB9351,"RUA TUPINAMBAS"
01.04.004.0.0036,1,119.77,285.48,-25.663428688068137,-53.81130654354788,C44485D3,"RUA PARAIBA"
01.04.004.0.0036,2,120.33,195.32,-25.663806787770607,-53.812040965506554,0E9A43FC,"RUA TAPAJOS"
01.04.004.0.0036,3,119.77,105.48,-25.664472383319232,-53.81162376811899,C7998C13,"RUA PERNAMBUCO"
01.04.004.0.0036,4,120.33,15.32,-25.664094283616762,-53.81088934616031,E12A8086,"RUA GUAIRACAS"
01.04.001.1.0005,1,100.80,285.48,-25.65626426872379,-53.80479598075141,35D01E89,"RUA DIONISIO WONS"
01.04.001.1.0005,2,140.39,195.32,-25.656752138860796,-53.80546560228959,083D97F0,"AVENIDA INDEPENDENCIA"
01.04.001.1.0005,3,100.80,105.48,-25.657481938040128,-53.805165982570784,EF2B51D7,"RUA PARA"
01.04.001.1.0005,4,140.39,15.32,-25.65699406790312,-53.804496361032605,4245F20E,"RUA PADRE CIRILO"
01.02.002.0.0033,1,119.77,285.48,-25.676480804919613,-53.805180943591395,6B8E7F2D,"RUA MINAS GERAIS"
