CODIGO_CARTOGRAFICO,CI_ID_FACE,OSM_VERTICE_1,OSM_VERTICE_2,SC_ID_LOGRADOURO,CENTROIDE,ORDEM_FACE,DIM_FACE
01.01.004.0.0047,4104501;01.01.004.0.0047;0C5BD29F,"POINT(-53.8091071 -25.6678005)","POINT(-53.8104232 -25.6674715)",0C5BD29F,"POINT(-53.809719 -25.667713)",3,119.77
01.01.004.0.0047,4104501;01.01.004.0.0047;B6AB9351,"POINT(-53.8107974 -25.6686947)","POINT(-53.8104232 -25.6674715)",B6AB9351,"POINT(-53.810460285714285 -25.668269285714285)",2,120.33
01.01.004.0.0047,4104501;01.01.004.0.0047;A8B4E8F4,"POINT(-53.809407 -25.6690607)","POINT(-53.8107974 -25.6686947)",A8B4E8F4,"POINT(-53.810486366 -25.668642634)",1,119.77
01.01.004.0.0047,4104501;01.01.004.0.0047;083D97F0,"POINT(-53.809092 -25.6683744)","POINT(-53.8090614 -25.6682752)",083D97F0,"POINT(-53.809219215 -25.6682452675)",4,120.33
01.04.004.1.0017,4104501;01.04.004.1.0017;EF2B51D7,"POINT(-53.805909 -25.6573879)","POINT(-53.8072359 -25.6570515)",EF2B51D7,"POINT(-53.8076163575 -25.65703125)",3,119.77
01.04.004.1.0017,4104501;01.04.004.1.0017;B6AB9351,"POINT(-53.8076601 -25.6584386)","POINT(-53.8072359 -25.6570515)",B6AB9351,"POINT(-53.807254428571426 -25.65777)",2,140.39
01.04.004.1.0017,4104501;01.04.004.1.0017;5C81EDF2,"POINT(-53.806335 -25.6587672)","POINT(-53.8076601 -25.6584386)",5C81EDF2,"POINT(-53.8071105 -25.65839075)",1,119.77
01.04.004.1.0017,4104501;01.04.004.1.0017;083D97F0,"POINT(-53.8061239 -25.658084)","POINT(-53.8059751 -25.6581291)",083D97F0,"POINT(-53.806121 -25.65787)",4,140.39
01.04.001.2.0040,4104501;01.04.001.2.0040;C7998C13,"POINT(-53.8001122 -25.6674191)","POINT(-53.798636 -25.6677975)",C7998C13,"POINT(-53.79939805555556 -25.667723777777777)",3,139.73
01.04.001.2.0040,4104501;01.04.001.2.0040;2C686C6D,"POINT(-53.8004883 -25.6686514)","POINT(-53.8004883 -25.6686514)",2C686C6D,"POINT(-53.800201666666666 -25.667929333333333)",2,120.33
01.04.001.2.0040,4104501;01.04.001.2.0040;6741EDC0,"POINT(-53.7990162 -25.6689972)","POINT(-53.8004883 -25.6686514)",6741EDC0,"POINT(-53.799644666666666 -25.668797666666666)",1,139.73
01.04.001.2.0040,4104501;01.04.001.2.0040;1558A9D1,"POINT(-53.7990162 -25.6689972)","POINT(-53.7988818 -25.6690312)",1558A9D1,"POINT(-53.79891625 -25.66847075)",4,120.33
01.02.001.0.0020,4104501;01.02.001.0.0020;C7998C13,"POINT(-53.8057043 -25.6660318)","POINT(-53.8070668 -25.6656938)",C7998C13,"POINT(-53.80642625 -25.66593825)",3,120.77
01.02.001.0.0020,4104501;01.02.001.0.0020;4245F20E,"POINT(-53.8070668 -25.6656938)","POINT(-53.8074566 -25.6669298)",4245F20E,"POINT(-53.8071634 -25.66633)",2,120.33
01.02.001.0.0020,4104501;01.02.001.0.0020;6741EDC0,"POINT(-53.8060932 -25.6672667)","POINT(-53.8074566 -25.6669298)",6741EDC0,"POINT(-53.806639 -25.667039)",1,120.77
01.02.001.0.0020,4104501;01.02.001.0.0020;7473D9A5,"POINT(-53.8060932 -25.6672667)","POINT(-53.8057043 -25.6660318)",7473D9A5,"POINT(-53.8059345 -25.666485)",4,120.33
01.02.001.0.0018,4104501;01.02.001.0.0018;C44485D3,"POINT(-53.8053719 -25.6648265)","POINT(-53.8066739 -25.6645022)",C44485D3,"POINT(-53.80587975 -25.664757375)",3,120.77
01.02.001.0.0018,4104501;01.02.001.0.0018;4245F20E,"POINT(-53.8066739 -25.6645022)","POINT(-53.8070668 -25.6656938)",4245F20E,"POINT(-53.8067838 -25.6651168)",2,120.33
01.02.001.0.0018,4104501;01.02.001.0.0018;C7998C13,"POINT(-53.8057043 -25.6660318)","POINT(-53.8070668 -25.6656938)",C7998C13,"POINT(-53.806233 -25.665827)",1,120.77
01.02.001.0.0018,4104501;01.02.001.0.0018;7473D9A5,"POINT(-53.8057043 -25.6660318)","POINT(-53.8053719 -25.6648265)",7473D9A5,"POINT(-53.805632333333335 -25.665483333333334)",4,120.33
01.02.002.0.0033,4104501;01.02.002.0.0033;9E705E10,"POINT(-53.8048796 -25.6777825)","POINT(-53.8061851 -25.6774332)",9E705E10,"POINT(-53.805506 -25.677518)",1,119.77
01.03.002.0.0034,4104501;01.03.002.0.0034;9E705E10,"POINT(-53.8035364 -25.6781216)","POINT(-53.8048796 -25.6777825)",9E705E10,"POINT(-53.804034 -25.67797775)",3,119.77
01.03.002.3.0065,4104501;01.03.002.3.0065;F54DE0AF,"POINT(-53.8027287 -25.681099)","POINT(-53.8042263 -25.6807077)",F54DE0AF,"POINT(-53.803512834 -25.681041634)",1,139.73
01.03.002.3.0065,4104501;01.03.002.3.0065;2C686C6D,"POINT(-53.8045804 -25.6818528)","POINT(-53.804677 -25.6817882)",2C686C6D,"POINT(-53.80428375 -25.68135175)",4,140.39
01.03.002.3.0065,4104501;01.03.002.3.0065;02443DBB,"POINT(-53.8042889 -25.6822121)","POINT(-53.8043226 -25.6823271)",02443DBB,"POINT(-53.80489135 -25.681961416666667)",3,139.73
01.03.002.3.0065,4104501;01.03.002.3.0065;1558A9D1,"POINT(-53.8031495 -25.6824939)","POINT(-53.8029996 -25.6825313)",1558A9D1,"POINT(-53.80294558333333 -25.681709583333333)",2,140.39
01.03.002.3.0053,4104501;01.03.002.3.0053;9003F37C,"POINT(-53.8023996 -25.6800076)","POINT(-53.8023585 -25.6798714)",9003F37C,"POINT(-53.80307425 -25.679938166666666)",1,139.73
01.03.002.3.0053,4104501;01.03.002.3.0053;2C686C6D,"POINT(-53.8039111 -25.6796913)","POINT(-53.8042263 -25.6807077)",2C686C6D,"POINT(-53.803564064 -25.678652112)",4,110.3
01.03.002.3.0053,4104501;01.03.002.3.0053;F54DE0AF,"POINT(-53.8027287 -25.681099)","POINT(-53.8042263 -25.6807077)",F54DE0AF,"POINT(-53.80341461857143 -25.680859047142857)",3,139.73
01.03.002.3.0053,4104501;01.03.002.3.0053;1558A9D1,"POINT(-53.8027287 -25.681099)","POINT(-53.8023996 -25.6800076)",1558A9D1,"POINT(-53.80255533333333 -25.680477333333332)",2,110.3
01.03.002.3.0054,4104501;01.03.002.3.0054;9003F37C,"POINT(-53.801106 -25.6803347)","POINT(-53.8022714 -25.6800403)",9003F37C,"POINT(-53.80173725 -25.68023275)",1,99.81
01.03.002.3.0054,4104501;01.03.002.3.0054;1558A9D1,"POINT(-53.8022714 -25.6800403)","POINT(-53.8025915 -25.6811351)",1558A9D1,"POINT(-53.8023365 -25.6805995)",4,110.3
01.03.002.3.0054,4104501;01.03.002.3.0054;F54DE0AF,"POINT(-53.8014431 -25.6814349)","POINT(-53.8025915 -25.6811351)",F54DE0AF,"POINT(-53.80201275 -25.681220375)",3,99.81
01.03.002.3.0054,4104501;01.03.002.3.0054;F0D334EC,"POINT(-53.801106 -25.6803347)","POINT(-53.8014431 -25.6814349)",F0D334EC,"POINT(-53.80135666666666 -25.680921)",2,110.3
01.06.004.1.0018,4104501;01.06.004.1.0018;5C81EDF2,"POINT(-53.8103197 -25.6577791)","POINT(-53.8116652 -25.6574455)",5C81EDF2,"POINT(-53.811058625 -25.657708125)",3,119.77
01.06.004.1.0018,4104501;01.06.004.1.0018;7CE46E23,"POINT(-53.8120691 -25.6588255)","POINT(-53.8116652 -25.6574455)",7CE46E23,"POINT(-53.81169277777778 -25.65834538888889)",2,140.39
