"CODIGO_CARTOGRAFICO";"FACE";"DIMENSAO_M";"LAT_CENTROIDE";"LNG_CENTROIDE";"SC_ID_LOGRADOURO";"NOM_LOGRADOURO";"CI_ID_FACE";"centroide"
"01.02.001.0.0020";1;120.77;-25.66593825;-53.80642625;"C7998C13";"RUA PERNAMBUCO";"4104501;01.02.001.0.0020;C7998C13";0
"01.02.001.0.0020";4;120.33;-25.666485;-53.8059345;"7473D9A5";"RUA TAMOIOS";"4104501;01.02.001.0.0020;7473D9A5";0
"01.02.001.0.0020";3;120.77;-25.667039;-53.806639;"6741EDC0";"RUA ALAGOAS";"4104501;01.02.001.0.0020;6741EDC0";0
"01.02.001.0.0020";2;120.33;-25.66633;-53.8071634;"4245F20E";"RUA PADRE CIRILO";"4104501;01.02.001.0.0020;4245F20E";0
"01.02.001.0.0018";3;120.77;-25.665827;-53.806233;"C7998C13";"RUA PERNAMBUCO";"4104501;01.02.001.0.0018;C7998C13";0
"01.02.001.0.0018";2;120.33;-25.6651168;-53.8067838;"4245F20E";"RUA PADRE CIRILO";"4104501;01.02.001.0.0018;4245F20E";0
"01.02.001.0.0018";1;120.77;-25.664757375;-53.80587975;"C44485D3";"RUA PARAIBA";"4104501;01.02.001.0.0018;C44485D3";0
"01.02.001.0.0018";4;120.33;-25.665483333333334;-53.805632333333335;"7473D9A5";"RUA TAMOIOS";"4104501;01.02.001.0.0018;7473D9A5";0
"01.01.004.0.0043";1;119.77;-25.6652503125;-53.808995;"C7998C13";"RUA PERNAMBUCO";"4104501;01.01.004.0.0043;C7998C13";0
"01.01.004.0.0043";2;120.33;-25.665679625;-53.809740375;"B6AB9351";"RUA TUPINAMBAS";"4104501;01.01.004.0.0043;B6AB9351";0
"01.01.004.0.0043";3;119.77;-25.666331166666666;-53.80956316666666;"6741EDC0";"RUA ALAGOAS";"4104501;01.01.004.0.0043;6741EDC0";0
"01.01.004.0.0043";4;120.33;-25.665978605454544;-53.80866240181818;"083D97F0";"AVENIDA INDEPENDENCIA";"4104501;01.01.004.0.0043;083D97F0";0
"01.01.004.0.0047";1;119.77;-25.667749791495837;-53.80974600710908;"0C5BD29F";"RUA ANTONIO NIEHEUS";"4104501;01.01.004.0.0047;0C5BD29F";0
"01.01.004.0.0047";2;120.33;-25.668127897061567;-53.81048045285419;"B6AB9351";"RUA TUPINAMBAS";"4104501;01.01.004.0.0047;B6AB9351";0
"01.01.004.0.0047";3;119.77;-25.66879348978258;-53.81006323371216;"A8B4E8F4";"RUA MARTINS NOTTAR";"4104501;01.01.004.0.0047;A8B4E8F4";0
"01.01.004.0.0047";4;120.33;-25.66841538421685;-53.80932878796704;"083D97F0";"AVENIDA INDEPENDENCIA";"4104501;01.01.004.0.0047;083D97F0";0
"01.04.004.0.0036";1;119.77;-25.663401;-53.811324;"C44485D3";"RUA PARAIBA";"4104501;01.04.004.0.0036;C44485D3";0
"01.04.004.0.0036";2;120.33;-25.6637462;-53.812021466;"0E9A43FC";"RUA TAPAJOS";"4104501;01.04.004.0.0036;0E9A43FC";0
"01.04.004.0.0036";3;119.77;-25.664430666666668;-53.811697;"C7998C13";"RUA PERNAMBUCO";"4104501;01.04.004.0.0036;C7998C13";0
"01.04.004.0.0036";4;120.33;-25.6639775;-53.8108632;"E12A8086";"RUA GUAIRACAS";"4104501;01.04.004.0.0036;E12A8086";0
"01.05.004.1.0019";1;119.77;-25.658057166666666;-53.80959491666667;"5C81EDF2";"RUA MARANHAO";"4104501;01.05.004.1.0019;5C81EDF2";0
"01.05.004.1.0019";2;140.39;-25.658583;-53.810394666;"0E9A43FC";"RUA TAPAJOS";"4104501;01.05.004.1.0019;0E9A43FC";0
"01.05.004.1.0019";3;119.77;-25.659244333333334;-53.810104833333334;"3020980C";"RUA PIAUI";"4104501;01.05.004.1.0019;3020980C";0
"01.05.004.1.0019";4;140.39;-25.65868720875;-53.80925375;"E12A8086";"RUA GUAIRACAS";"4104501;01.05.004.1.0019;E12A8086";0
"01.04.001.0.0036";1;139.73;-25.66650940060148;-53.79902037691621;"C44485D3";"RUA PARAIBA";"4104501;01.04.001.0.0036;C44485D3";0
"01.04.001.0.0036";2;120.33;-25.66686361346996;-53.79985076021785;"2C686C6D";"AVENIDA BOTUCARIS";"4104501;01.04.001.0.0036;2C686C6D";0
"01.04.001.0.0036";3;139.73;-25.667553130487107;-53.799337507936656;"C7998C13";"RUA PERNAMBUCO";"4104501;01.04.001.0.0036;C7998C13";0
"01.04.001.0.0036";4;120.33;-25.667198917618627;-53.79850712463502;"2C686C6D";"AVENIDA BOTUCARIS";"4104501;01.04.001.0.0036;2C686C6D";0
"01.03.001.2.0048";1;139.73;-25.67029457142857;-53.80000592857143;"0C5BD29F";"RUA ANTONIO NIEHEUS";"4104501;01.03.001.2.0048;0C5BD29F";0
"01.03.001.2.0048";2;120.33;-25.67071025;-53.80095725;"2C686C6D";"AVENIDA BOTUCARIS";"4104501;01.03.001.2.0048;2C686C6D";0
"01.03.001.2.0048";3;139.73;-25.67117488888889;-53.80043933333334;"08C99AE1";"RUA BAHIA";"4104501;01.03.001.2.0048;08C99AE1";0
"01.03.001.2.0048";4;120.33;-25.670893;-53.799683;"1558A9D1";"AVENIDA UBIRAJARAS";"4104501;01.03.001.2.0048;1558A9D1";0
"01.03.002.4.0050";1;129.75;-25.678875;-53.807244;"9003F37C";"AVENIDA PARANA";"4104501;01.03.002.4.0050;9003F37C";0
"01.03.002.4.0050";2;110.3;-25.679148591153982;-53.80816212704886;"475A4CBA";"RUA AIMORES";"4104501;01.03.002.4.0050;475A4CBA";0
"01.03.002.4.0050";3;129.75;-25.67978267120034;-53.80768365258019;"F54DE0AF";"RUA SANTA CATARINA";"4104501;01.03.002.4.0050;F54DE0AF";0
"01.03.002.4.0050";4;110.3;-25.6794600250241;-53.80691436969749;"E544EA7B";"RUA OTAVIO FRANCISCO DE MATTOS";"4104501;01.03.002.4.0050;E544EA7B";0
"01.04.002.12.0284";1;42.42;-25.679111238673975;-53.789442031126164;"4A6E811F";"RUA MATO GROSSO";"4104501;01.04.002.12.0284;4A6E811F";0
"01.04.002.12.0284";2;120.33;-25.6795822315026;-53.78980454952111;"E7CB32DA";"RUA PACURI";"4104501;01.04.002.12.0284;E7CB32DA";0
"01.04.002.12.0284";3;42.42;-25.680154991762286;-53.7897591262096;"6B8E7F2D";"RUA MINAS GERAIS";"4104501;01.04.002.12.0284;6B8E7F2D";0
"01.04.002.12.0284";4;120.33;-25.679683998933662;-53.78939660781466;"349B5C32";"RUA ANAJE";"4104501;01.04.002.12.0284;349B5C32";0
"01.04.002.12.0381";1;49.9;-25.685001651994064;-53.78763897542295;"F54DE0AF";"RUA SANTA CATARINA";"4104501;01.04.002.12.0381;F54DE0AF";0
"01.04.002.12.0381";2;108.31;-25.68541228084201;-53.78802070866172;"E29DE961";"RUA CONCORDIA";"4104501;01.04.002.12.0381;E29DE961";0
"01.04.002.12.0381";3;50.4;-25.68597164150378;-53.78793122434632;"02443DBB";"AVENIDA RIO GRANDE DO SUL";"4104501;01.04.002.12.0381;02443DBB";0
"01.04.002.12.0381";4;115.21;-25.68556101265584;-53.78754949110754;"DFFFFDA3";"RUA CLARINDA MAGRO";"4104501;01.04.002.12.0381;DFFFFDA3";0
"01.03.002.3.0084";1;99.81;-25.683149237392538;-53.80134609521431;"02443DBB";"AVENIDA RIO GRANDE DO SUL";"4104501;01.03.002.3.0084;02443DBB";0
"01.03.002.3.0084";2;200.55;-25.683899236772543;-53.80209037142366;"F0D334EC";"RUA CARAMURUS";"4104501;01.03.002.3.0084;F0D334EC";0
"01.03.002.3.0084";3;99.81;-25.684888765607177;-53.801874781549806;"C85CFF69";"RUA FERNANDO NORONHA";"4104501;01.03.002.3.0084;C85CFF69";0
"01.03.002.3.0084";4;200.55;-25.68413876622717;-53.80113050534045;"27AE0E78";"RUA LEOPOLDO SCHMIDT";"4104501;01.03.002.3.0084;27AE0E78";0
"01.01.004.0.0043";1;119.77;-25.6652503125;-53.808995;"C7998C13";"RUA PERNAMBUCO";"4104501;01.01.004.0.0043;C7998C13";0
"01.01.004.0.0043";2;120.33;-25.665679625;-53.809740375;"B6AB9351";"RUA TUPINAMBAS";"4104501;01.01.004.0.0043;B6AB9351";0
"01.01.004.0.0043";3;119.77;-25.666331166666666;-53.80956316666666;"6741EDC0";"RUA ALAGOAS";"4104501;01.01.004.0.0043;6741EDC0";0
"01.01.004.0.0043";4;120.33;-25.665978605454544;-53.80866240181818;"083D97F0";"AVENIDA INDEPENDENCIA";"4104501;01.01.004.0.0043;083D97F0";0
"01.01.004.0.0047";1;119.77;-25.667749791495837;-53.80974600710908;"0C5BD29F";"RUA ANTONIO NIEHEUS";"4104501;01.01.004.0.0047;0C5BD29F";0
"01.01.004.0.0047";2;120.33;-25.668127897061567;-53.81048045285419;"B6AB9351";"RUA TUPINAMBAS";"4104501;01.01.004.0.0047;B6AB9351";0
"01.01.004.0.0047";3;119.77;-25.66879348978258;-53.81006323371216;"A8B4E8F4";"RUA MARTINS NOTTAR";"4104501;01.01.004.0.0047;A8B4E8F4";0
"01.01.004.0.0047";4;120.33;-25.66841538421685;-53.80932878796704;"083D97F0";"AVENIDA INDEPENDENCIA";"4104501;01.01.004.0.0047;083D97F0";0
"01.04.004.0.0036";1;119.77;-25.663401;-53.811324;"C44485D3";"RUA PARAIBA";"4104501;01.04.004.0.0036;C44485D3";0
"01.04.004.0.0036";2;120.33;-25.6637462;-53.812021466;"0E9A43FC";"RUA TAPAJOS";"4104501;01.04.004.0.0036;0E9A43FC";0
"01.04.004.0.0036";3;119.77;-25.664430666666668;-53.811697;"C7998C13";"RUA PERNAMBUCO";"4104501;01.04.004.0.0036;C7998C13";0
"01.04.004.0.0036";4;120.33;-25.6639775;-53.8108632;"E12A8086";"RUA GUAIRACAS";"4104501;01.04.004.0.0036;E12A8086";0
"01.05.004.1.0019";1;119.77;-25.658057166666666;-53.80959491666667;"5C81EDF2";"RUA MARANHAO";"4104501;01.05.004.1.0019;5C81EDF2";0
"01.05.004.1.0019";2;140.39;-25.658583;-53.810394666;"0E9A43FC";"RUA TAPAJOS";"4104501;01.05.004.1.0019;0E9A43FC";0
