SC_ID_LOGRADOURO,NOM_LOGRADOURO,OSM_NOM_LOGRADOURO
F54DE0AF,"RUA SANTA CATARINA",Rua Santa Catarina
F0D334EC,"RUA CARAMURUS",Rua Caramurus
E7CB32DA,"RUA PACURI",Rua Pacurí
E544EA7B,"RUA OTAVIO FRANCISCO DE MATTOS",Rua Otávio Francisco de Mattos
E29DE961,"RUA CONCORDIA",Rua Concórdia
E12A8086,"RUA GUAIRACAS",Rua Guairacas
DFFFFDA3,"RUA CLARINDA MAGRO",Rua Clarinda Magro
C85CFF69,"RUA FERNANDO NORONHA",Rua Fernando de Noronha
C7998C13,RUA PERNAMBUCO,Rua Pernambuco
C44485D3,"RUA PARAIBA",Rua Paraíba
B6AB9351,"RUA TUPINAMBAS",Rua Tupinambás
A8B4E8F4,"RUA MARTINS NOTTAR",Rua Martins Nottar
9003F37C,"AVENIDA PARANA",Avenida Paraná
6B8E7F2D,"RUA MINAS GERAIS",Rua Minas Gerais
6741EDC0,"RUA ALAGOAS",Rua Alagoas
5C81EDF2,"RUA MARANHAO",Rua Maranhão
4A6E811F,"RUA MATO GROSSO",Rua Mato Grosso
475A4CBA,"RUA AIMORES",Rua Aimorés
349B5C32,"RUA ANAJE",Rua Anaje
3020980C,"RUA PIAUI",Rua Piauí
2C686C6D,"AVENIDA BOTUCARIS",Avenida Botucaris
27AE0E78,"RUA LEOPOLDO SCHMIDT",Rua Leopoldo Schimidt
1558A9D1,"AVENIDA UBIRAJARAS",Avenida Ubirajaras
0E9A43FC,"RUA TAPAJOS",Rua Tapajós
0C5BD29F,"RUA ANTONIO NIEHEUS",Rua Antonio Niehaus
08C99AE1,"RUA BAHIA",Rua Bahia
083D97F0,"AVENIDA INDEPENDENCIA",Avenida Independência
02443DBB,"AVENIDA RIO GRANDE DO SUL",Avenida Rio Grande do Sul
