NOM_LOGRADOURO,SC_ID_LOGRADOURO
"ACESSO DA LINHA GAUCHA A CARBONI",E6D39B38
"AVENIDA ATAIDE ROBERTO ESCHER",D31845EF
"AVENIDA BOTUCARIS",2C686C6D
"AVENIDA BRASIL",95A3D8AB
"AVENIDA DAS FLORES",64C3E40C
"AVENIDA ESPIRITO SANTO",0009C03A
"AVENIDA GERALDO FULBER",AD3832A0
"AVENIDA INDEPENDENCIA",083D97F0
"AVENIDA MARECHAL FLORIANO",6AE7BCF0
"AVENIDA PARANA",9003F37C
"AVENIDA PEDRO V PARIGOT SOUZA",C8B905F9
"AVENIDA PEDRO VIRIATO PARIGOT DE SOUZA",C7037BCE
"AVENIDA PR 267",7E4287C7
"AVENIDA RIO GRANDE DO SUL",02443DBB
"AVENIDA SETE DE SETEMBRO",AE42A7F8
"AVENIDA UBIRAJARAS",1558A9D1
"BAIRRO MARANHAO PROLONGAMENTO",7CADC547
"COMUNIDADE MARECHAL LOTT",A28A6199
"ENTRADA DUAS BARRAS PORTO BUSATO",9E6B56E1
"ESTRADA 123",B8DD9EFC
"ESTRADA ALTO FARADAI",C061A0E3
"ESTRADA ALTO FARADAY A DUAS BARRRAS",BFC92118
"ESTRADA ALTO FARADAY A PONTE DO CAPANE",4B4464C0
"ESTRADA ALTO FARADAY A REDENCAO",37472FA9
"ESTRADA ALTO PINHEIRO A REDENCAO",18CE3AE6
"ESTRADA ALZIR GAVA PR 163",3255FF8D
"ESTRADA ARMANDO WEISS CABREIRA PR 163",B043BE89
"ESTRADA ARROIO GAUCHO",6351B837
"ESTRADA ASFALTO ATE REDENCAO",0870C80C
"ESTRADA ASSEMUCA CARBONI",61AAFCA1
"ESTRADA ASSEMUCA GAUCHA",1613997F
"ESTRADA ATRAS DA ASSEMUCA",7F79AB3D
"ESTRADA BARRA DO SIEMENS",A1476D69
"ESTRADA BEIRA SANGA",80F1717C
"ESTRADA BELA UNIAO",5213B682
"ESTRADA BOM RETIRO",5E17B6F2
"ESTRADA CALCAMENTO",0161EAB5
"ESTRADA CALCAMENTO LA GAUCHA",03B0B3EC
"ESTRADA CAMBUI",9C95B212
"ESTRADA CAMBUI A FLOR DA SERRA",CEC507B8
"ESTRADA CAMBUI ESQUINA SAO FRANCISCO",C0605CE0
"ESTRADA CAMBUI FLOR DA SERRA",548C813C
"ESTRADA CAMBUI PAVAO",906B8CA7
"ESTRADA CAMBUI SAO LUIZ",B2E3F8AE
"ESTRADA CAMBUI SAO PEDRO",30B5EADC
"ESTRADA CAPANEMA A SAO MIGUEL",F1256F4E
"ESTRADA CAPANEMA CAMBUI",0F42089A
"ESTRADA CAPANEMA PORTO",7C84ECA7
"ESTRADA CAPANEMA SANTO ANTONIO",D5DE1123
"ESTRADA CARBONI ENGENHEIRO PINTO",0641D25F
"ESTRADA CARBONI VAI ENGENHEIRO PINTO",EBC83575
"ESTRADA CEMITERIO",87AE3FC3
"ESTRADA COMUNIDADE ESTRELA",E586966E
"ESTRADA CORREGO SERRARIA A SAO JOSE DO",5DA99C44
"ESTRADA CRISTO REI ALTO FARADAY",FDBB8090
"ESTRADA CRISTO REI IGUACU",BAFB7ECA
"ESTRADA CURITIBANA SAO PEDRO",58EB65F3
"ESTRADA DA GAUCHA P CARBONI",DECA63F3
"ESTRADA DO CEMITERIO",97DA8D44
"ESTRADA DUAS BARRAS",B836C118
"ESTRADA DUAS BARRAS A BOM RETIRO",8B751426
"ESTRADA DUAS BARRAS A PORTO BUSATO",C72DA78F
"ESTRADA DUAS BARRAS A PR 163",2F468FF4
"ESTRADA DUAS BARRAS MARECHAL LOTT",C0AABD94
"ESTRADA DUAS BARRAS WENCESLAU BRAS",5D7F68C3
"ESTRADA DUTRA",BD6A89A0
"ESTRADA EM FRENTE AO CAMPO",EAB8A946
"ESTRADA ENGENHEIRO PINTO",C9E3A6AF
"ESTRADA ENTRADA DO PINHEIRO",255A4071
"ESTRADA ESMERALDA A DUAS BARRAS",22E60C7C
"ESTRADA ESQUINA SAO FRANCISCO CURITIBA",EF133C8F
"ESTRADA ESTRADA DO MEIO",3126A567
"ESTRADA ESTRADA LINHA BONITA",21CDEE3B
"ESTRADA ESTRADA LIXAO",FFC44366
"ESTRADA ESTRELA",518A1982
"ESTRADA FACAO",87EFC368
"ESTRADA FARADAI",59273116
"ESTRADA FARADAI CAPANEMA",B63B429E
"ESTRADA FARADAI ESQUINA EGOM",6BFDD7C5
"ESTRADA FARADAY A TREVO ESQUINA EGON",49BF6282
"ESTRADA FLOR DA SERRA",D9EBDDE5
"ESTRADA FLOR DA SERRA A SAOPEDRO",0951BA45
"ESTRADA FLOR DA SERRA CAMBUI",9742E02E
"ESTRADA FLOR DA SERRA COSTA DO IGUACU",9ABBC0A1
"ESTRADA FLOR DA SERRA IGUACU",26EB1E59
"ESTRADA FLOR DA SERRA SANTA ANA",8EAEA5E4
"ESTRADA FLOR DA SERRA VENEZA",AF60F850
"ESTRADA GAUCHA CARBONI",2FD610EA
"ESTRADA GAUCHA LINHA BONITA",AA47F119
"ESTRADA IGREJA CRENTE A CAPELA CATOLIC",39266939
"ESTRADA IGREJAS ATE ASFALTO",F7AF7245
"ESTRADA IGUACU",2D3C4C65
"ESTRADA KM 54",F3BCD95E
"ESTRADA KM 54 SANTO ANTONIO DO SIEMENS",8ABE3884
"ESTRADA LAGEADO 60",794599E3
"ESTRADA LAGEADO CEDRO",867E4A04
"ESTRADA LAGEADO GRANDE A DUAS BARRAS",B06C5BB3
"ESTRADA LAGEADO GRANDE SAO SEBASTIAO",7DE75704
"ESTRADA LAGEADO TIGRINHO",F385CC0E
"ESTRADA LAJEADO GRANDE",C5B79B46
"ESTRADA LINHA BONITA",F86264E3
"ESTRADA LINHA BONITA A LINHA GAUCHA",0320CB30
"ESTRADA LINHA CURITIBANA",ACD18985
"ESTRADA LINHA GAUCHA",7B674324
"ESTRADA LINHA GAUCHA P CIDADE",823A90E6
"ESTRADA LINHA IPIRANGA",6AE4C1FD
"ESTRADA LINHA JACARE",064FB215
"ESTRADA LINHA KM 54",24C8E1C8
"ESTRADA LINHA PRIMAVERA",57BF5D7E
"ESTRADA LINHA REDENCAO",F1D40E21
"ESTRADA LINHA SAO JOAO",745C4C61
"ESTRADA LINHA TAMANDUA",DD22386A
"ESTRADA LINHA TIMBAUVA",C7C7860F
"ESTRADA LINHA TIMBAUVA A SAO SEBASTIAO",032B50BF
"ESTRADA LINHA UNIAO",222F832C
"ESTRADA LINHA UNIAO SENTIDO LAGEADO TI",B6E5398D
"ESTRADA LINHA UNIAO TIGRINHO",BCB2CD53
"ESTRADA LORENZONI",BF750BBD
"ESTRADA MARECHAL A DUAS BARRAS",9EBB0A94
"ESTRADA MARECHAL LOTT A ESMERALDA",A6164FF3
"ESTRADA MARECHAL LOTT A PORTO BUSATO",88B6B24A
"ESTRADA MARECHAL LOTT ESTRELA DO OESTE",2774076D
"ESTRADA MARTINI",B3A74DDD
"ESTRADA NOSSA SENHORA DO CARMO",6F4E5442
"ESTRADA NOVA VENESA",79062B57
"ESTRADA PARA BARRA OURO AZUL",594D1C12
"ESTRADA PARALELA PINHEIRO",BA3BC814
"ESTRADA PAVAO",72A2C0D1
"ESTRADA PINHEIRINHO",A60DE6C4
"ESTRADA PINHEIRO A BOM RETIRO",5400CE3D
"ESTRADA PINHEIRO BOM RETIRO",BB40297E
"ESTRADA POMPERMAIER",A0325E2D
"ESTRADA PONTE DO LAGEADO GRANDE A PONT",D05D90AE
"ESTRADA PR 281",2DA7841F
"ESTRADA PR 582",B1E1C320
"ESTRADA PR 582 A ESTRADA DUAS BARRAS",C3986ACB
"ESTRADA PR SAO PEDRO",295563A3
"ESTRADA PROLONGAMENTO DA RUA GUARANI",68110F01
"ESTRADA PRONOLGAMENTO DA RUA ALAGOAS",454BF3CE
"ESTRADA REDENCAO",48BDC36A
"ESTRADA REDENCAO AO FARADAY",087CF1D8
"ESTRADA RESSACA",AC715522
"ESTRADA RIO GRANDENSE",AEE86D29
"ESTRADA RODOVIA ESTRADA DO IGUACU",D9096B3A
"ESTRADA SAI DUAS BARAS",DF9A0DC4
"ESTRADA SAI NA VILA",A8F0CA81
"ESTRADA SANGA ALEGRE",AE08F910
"ESTRADA SANGA AZUL RIOGRANDENSE",65040291
"ESTRADA SANGA DAS AMERICAS",F3BACBBB
"ESTRADA SANGA DOS PORCOS",88BD67E3
"ESTRADA SANTA ANA",33E5C1BA
"ESTRADA SANTA ANA ESCOLINHA COSTA DO I",41990F69
"ESTRADA SANTA ANA VENEZA",081BBCD3
"ESTRADA SANTA CLARA",EA0F4035
"ESTRADA SANTA CLARA COSTA DO RIO SANTO",A309819D
"ESTRADA SANTA FILOMENA",D0B72E27
"ESTRADA SANTA FLOR",7C30A15F
"ESTRADA SANTA MARIA",1003F03A
"ESTRADA SANTA TEREZINHA SANTA MARIA",C8B22E5C
"ESTRADA SANTO ANTONIO",415668A6
"ESTRADA SANTO ANTONIO CRISTO REI",DFE29D69
"ESTRADA SANTO ANTONIO DO SIEMENS",945E2BD8
"ESTRADA SANTO ANTONIO DO SIEMES",567C4025
"ESTRADA SANTO ANTONIO SANTA LUZIA",F1887744
"ESTRADA SAO CRISTOVAO TRES ANGICOS",743D64CB
"ESTRADA SAO FRANCISCO",24167ED5
"ESTRADA SAO FRANCISCO FLOR DA SERRA",86C71C7E
"ESTRADA SAO JOSE",551418E7
"ESTRADA SAO LUIZ",5CEB96B3
"ESTRADA SAO LUIZ A SANTANA",11250F8A
"ESTRADA SAO LUIZ PAVAO",6C2586C7
"ESTRADA SAO PEDRO",535D8E6B
"ESTRADA SAO PEDRO A CAMBUI",201E970D
"ESTRADA SAO PEDRO COSTA DO IGUACU",3372F664
"ESTRADA SAO PEDRO FLOR DA SERRA",E98FEFB5
"ESTRADA SAO SEBASTIAO",9595B575
"ESTRADA SAO SEBASTIAO A PONTE DO CORRE",83877C88
"ESTRADA SCHIO",416A76F8
"ESTRADA SEGUNDA ENTRADA DA PR 582 A ES",C56DEA63
"ESTRADA SEM DENOMINACAO",998BB603
"ESTRADA SOO PEDRO BARRA DO IGUACU",11896A87
"ESTRADA TIGRINHO",59EB8906
"ESTRADA TRES ANGICO",FCB77F28
"ESTRADA TRES ANGICO PARA SAO PEDRO",662EB990
"ESTRADA TRES ANGICOS LAGEADO 60",9C2F83EB
"ESTRADA TRES ANGICOS SANTA CRUZ",06CAB7F6
"ESTRADA TRES ANGICOS SAO CRISTOVAO",3229F35F
"ESTRADA TREVISAN RIO CIMITERIO",75D9F773
"ESTRADA TREVO ATE COAGRO",B621C283
"ESTRADA TREZ AMIGOS",F6AD57A9
"ESTRADA URUTAL",BD983DAE
"ESTRADA VENEZA",A4B7AA6C
"ESTRADA VILA SANTA CLARA",0FC2E18E
"ESTRADA VILA VENEZA",88010D38
"ESTRADA WENCESLAU BRAS A SALTINHO",1315A612
"LINHA ALTO PINHEIRO",42D1F4C7
"LINHA ARAUJO",7CF1CBEA
"LINHA BONITA",1CB3B2ED
"LINHA BRIZOLA",E767B404
"LINHA GAUCHA",9FB6952A
"LINHA JACARE",E29E641B
"LINHA OURO AZUL",652C2221
"LINHA OURO AZUL 2",457556F6
"LINHA PINHEIRO REDENSAO",E7FE4212
"LINHA REDENSAO DUAS BARRAS",651693C1
"LINHA TIMBAUVA",36F438B1
"LINHA TIMBAUVA ALTA",A12EC120
"LINHA TRES ANGICOS",CA75BCA6
"LINHA TRES QNGICOS",ADAB2068
"LINHA VARGEM BONITA",A20D27D0
"PROLONGAMENTO GERALDO FULBER",A3587B5F
"PROLONGAMENTO RIO GRANDE DO SUL",D0D59C4C
"PROLONGAMENTO RUA AMANBAY",C5212E35
"PROLONGAMENTO RUA MATO GROSSO",EEF0EF84
"PROLONGAMENTO RUA TERRITORIO FERNANDO DE NORONHA",EE815592
"RODOVIA 123",571BF9C7
"RODOVIA 14",95453754
"RODOVIA 163",33773CC3
"RODOVIA 183",ADF4114D
"RODOVIA BR 163",61F7450F
"RODOVIA BR 163 KM 86",23BAC84A
"RODOVIA BR SANTA CLARA",19169F21
"RODOVIA PR",4D72A9DF
"RODOVIA PR 163",2FE9E69F
"RODOVIA PR 167",28842286
