quadras.id,quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria
429117,4104501,01.04.001.1.0014,"POLYGON((-53.806152043692926 -25.6630354680577, -53.80620490647653 -25.663209419875553, -53.806041758932786 -25.66325014254521, -53.8050436770501 -25.6634992656852, -53.806152043692926 -25.6630354680577))"
429118,4104501,01.03.001.1.0013,"POLYGON((-53.80599985930433 -25.661949142803135, -53.80619557677362 -25.66190029016037, -53.807123966204216 -25.662744647768385, -53.807323634534754 -25.66292874130011, -53.80599985930433 -25.661949142803135), (-53.807149077426196 -25.66239396641386, -53.80693762251372 -25.661698155909058, -53.80649435784296 -25.661808800436624, -53.807149077426196 -25.66239396641386))"
429119,4104501,01.02.001.0.0020,"POLYGON((-53.80582958354056 -25.66610957185448, -53.806990835114846 -25.665819717913326, -53.807308031461815 -25.666863424880614, -53.80614677104059 -25.667153282096216, -53.80582958354056 -25.66610957185448))"
429144,4104501,01.04.002.12.0397,"POLYGON((-53.781922371621036 -25.686236532495734, -53.78233196971501 -25.68656551561881, -53.78165125160022 -25.687260886392817, -53.7812871593164 -25.68688509792758, -53.781922371621036 -25.686236532495734))"
429145,4104501,01.04.002.12.0382,"POLYGON((-53.78677666870274 -25.685216726141242, -53.7872569046495 -25.68509793001294, -53.78756510149308 -25.686120861286618, -53.787112374432205 -25.68633097512033, -53.78677666870274 -25.685216726141242))"
429146,4104501,01.04.002.12.0387,"POLYGON((-53.78563656530305 -25.68585021957316, -53.785707202326805 -25.68608823986805, -53.78577808048748 -25.68632707153387, -53.78480163139904 -25.686402041076146, -53.78563656530305 -25.68585021957316))"
429158,4104501,01.03.001.0.0085,"POLYGON((-53.803430971483394 -25.668028036096437, -53.80400681236714 -25.667884316471675, -53.80432927700813 -25.668945426632316, -53.803753431663466 -25.66908914790752, -53.803430971483394 -25.668028036096437))"
429159,4104501,01.04.002.3.0035,"POLYGON((-53.80046806641102 -25.67799506553959, -53.80115475681103 -25.67860839388385, -53.800925838430274 -25.67866551996338, -53.80068972109384 -25.67872444210214, -53.80046806641102 -25.67799506553959))"
429160,4104501,01.04.002.3.0058,"POLYGON((-53.79795405193211 -25.681193018345283, -53.798433978247196 -25.681073265516655, -53.79872472408659 -25.682030014892547, -53.79824479441672 -25.68214976896119, -53.79795405193211 -25.681193018345283))"
429161,4104501,01.04.001.1.084B,"POLYGON((-53.80234670680518 -25.64996449188507, -53.8033063021688 -25.649724975551823, -53.80346239270327 -25.65023873159689, -53.80306899450289 -25.650336924947236, -53.80234670680518 -25.64996449188507))"
429162,4104501,01.04.002.12.0281,"POLYGON((-53.78753430070864 -25.679587131240602, -53.78808810185785 -25.679965498955664, -53.78825932855722 -25.680529127563457, -53.78785138152343 -25.680630889629676, -53.78753430070864 -25.679587131240602))"
429180,4104501,01.06.002.0.048A,"POLYGON((-53.79578507441092 -25.68053510418362, -53.79631466246163 -25.680571572195444, -53.795836300688215 -25.680696355418544, -53.79530671205063 -25.68065988570149, -53.79578507441092 -25.68053510418362))"
429181,4104501,01.04.002.3.0075,"POLYGON((-53.79498871836584 -25.69046677449014, -53.79594939360356 -25.690229739648608, -53.79606319317132 -25.690608385068654, -53.795102515267885 -25.69084542088456, -53.79498871836584 -25.69046677449014))"
429196,4104501,01.05.004.1.0015,"POLYGON((-53.80981497271142 -25.656504017526583, -53.809494085106145 -25.65789415688162, -53.80903345704565 -25.658009146587087, -53.8090297037154 -25.657996796085133, -53.80981497271142 -25.656504017526583))"
428761,4104501,01.04.002.3.0135,"POLYGON((-53.793735580608164 -25.675511579687512, -53.794695398944164 -25.675272103258663, -53.79481696285756 -25.675672203516275, -53.79385714171633 -25.67591168098151, -53.793735580608164 -25.675511579687512))"
428762,4104501,01.04.002.3.0076,"POLYGON((-53.79651618992774 -25.690089886263973, -53.79662999106824 -25.690468531109104, -53.79644746309941 -25.690513569054037, -53.79617847422379 -25.69057994036557, -53.79651618992774 -25.690089886263973))"
428763,4104501,01.01.002.0.0031,"POLYGON((-53.80719875097892 -25.675979772598595, -53.80751598505903 -25.677023475431838, -53.80703608672138 -25.67714325613486, -53.80646289469235 -25.677286320237076, -53.80719875097892 -25.675979772598595))"
429197,4104501,01.06.004.1.0066,"POLYGON((-53.81283518293655 -25.656239902090064, -53.813781364987165 -25.656003669635183, -53.81401399186153 -25.6567690428942, -53.81391227213209 -25.656794439571442, -53.81283518293655 -25.656239902090064))"
428774,4104501,01.03.001.0.0011,"POLYGON((-53.805578441991955 -25.660560750915394, -53.80686488159373 -25.66136252271317, -53.80691774440067 -25.661536474282606, -53.80667782524292 -25.661596361377068, -53.805578441991955 -25.660560750915394))"
428775,4104501,01.05.001.1.0005,"POLYGON((-53.79555396250409 -25.664955503931928, -53.79581549109454 -25.66581634242817, -53.79350874060802 -25.66639191779931, -53.7932313952945 -25.66553502396348, -53.79555396250409 -25.664955503931928))"
428776,4104501,01.04.002.0.0070,"POLYGON((-53.8006004466535 -25.683069282282446, -53.80023038451686 -25.68185160784985, -53.79941450802378 -25.68205519699767, -53.79978456290192 -25.683272874113587, -53.8006004466535 -25.683069282282446))"
428777,4104501,01.04.001.2.073B,"POLYGON((-53.79931276912138 -25.66403812741503, -53.79994497351364 -25.66422272910263, -53.79986909550141 -25.664436105309907, -53.799566059201915 -25.66487175787984, -53.79931276912138 -25.66403812741503))"
428778,4104501,01.06.004.1.0073,"POLYGON((-53.81529467847632 -25.654118745004237, -53.815322898069326 -25.654211589702623, -53.814503401147086 -25.654416204519347, -53.81447518210902 -25.65432335961528, -53.81529467847632 -25.654118745004237))"
428825,4104501,01.04.001.1.0005,"POLYGON((-53.80431136227574 -25.65638523244813, -53.805280599227075 -25.65614330499945, -53.80565060535209 -25.657360972722145, -53.80468135978947 -25.657602903358107, -53.80431136227574 -25.65638523244813))"
428826,4104501,01.04.002.3.0110,"POLYGON((-53.794118891788145 -25.687030154881217, -53.79482010828075 -25.6868552098545, -53.79508344834338 -25.6877235831417, -53.794382128024374 -25.687898554602647, -53.794118891788145 -25.687030154881217))"
428827,4104501,01.04.001.2.0101,"POLYGON((-53.79299422541037 -25.670627507561335, -53.79332055140772 -25.670546089033984, -53.79337340043448 -25.670720046628933, -53.793426249638536 -25.67089400418836, -53.79299422541037 -25.670627507561335))"
428835,4104501,01.04.001.2.0109,"POLYGON((-53.7907029706806 -25.669943387474106, -53.79128781346936 -25.670882906951075, -53.79100947392612 -25.67095234857462, -53.79085305083465 -25.67043743064539, -53.7907029706806 -25.669943387474106))"
428836,4104501,01.04.001.2.0103,"POLYGON((-53.79331390208048 -25.671668276641668, -53.79364023097519 -25.67158685708554, -53.79374593133857 -25.671934771810434, -53.793419601614644 -25.67201619167291, -53.79331390208048 -25.671668276641668))"
428837,4104501,01.04.001.1.0112,"POLYGON((-53.80054680825179 -25.65482574508531, -53.800808407185855 -25.655109107335957, -53.80093984681211 -25.65554173301582, -53.80067808799025 -25.655257849256127, -53.80054680825179 -25.65482574508531))"
428838,4104501,01.03.001.0.086A,"POLYGON((-53.804469819403984 -25.668320647695037, -53.80495850569462 -25.668204542497005, -53.80511623846344 -25.668748882322525, -53.80479921382505 -25.66882813643871, -53.804469819403984 -25.668320647695037))"
428839,4104501,01.02.004.0.0051,"POLYGON((-53.80996651959493 -25.670496041060996, -53.809889854655445 -25.670243814167772, -53.81018065467982 -25.67120053646835, -53.81012117241958 -25.67100484335845, -53.80996651959493 -25.670496041060996))"
428840,4104501,01.03.002.4.0096,"POLYGON((-53.81062344125886 -25.677151187224858, -53.81159282510524 -25.6769092053857, -53.81176071552817 -25.677461491362163, -53.810791327772336 -25.677703474648894, -53.81062344125886 -25.677151187224858))"
428841,4104501,01.03.001.2.0075,"POLYGON((-53.80512902835129 -25.667039163527253, -53.805848820004954 -25.666859505956236, -53.80595454940071 -25.667207409407464, -53.80523475591906 -25.66738706765497, -53.80512902835129 -25.667039163527253))"
428842,4104501,01.04.001.1.0117,"POLYGON((-53.800248209056704 -25.653842898628618, -53.80054415713524 -25.654239332483286, -53.800675594556324 -25.65467195860635, -53.800381018937735 -25.65428004799844, -53.800248209056704 -25.653842898628618))"
428843,4104501,02.06.005.11.0013,"POLYGON((-53.88025203343055 -25.61365508148679, -53.881001716296936 -25.613190959440264, -53.879763750781436 -25.61472200411097, -53.879397155776864 -25.61418432002738, -53.88025203343055 -25.61365508148679))"
428844,4104501,01.04.001.2.071B,"POLYGON((-53.79895293850114 -25.66301730504198, -53.79964595434342 -25.663208657686727, -53.80022871180802 -25.663369563144173, -53.79957384364215 -25.663423104142606, -53.79895293850114 -25.66301730504198))"
428845,4104501,01.02.002.0.0033,"POLYGON((-53.804605065053586 -25.676624533456987, -53.80575682212921 -25.67633707638224, -53.80607404520966 -25.677380783283652, -53.8049222793548 -25.677668243606607, -53.804605065053586 -25.676624533456987))"
428846,4104501,01.03.001.0.0089,"POLYGON((-53.80534635038929 -25.669234301228077, -53.80676237131126 -25.669816600311734, -53.806234512969546 -25.6699483537972, -53.80561067865305 -25.670104060118184, -53.80534635038929 -25.669234301228077))"
428847,4104501,01.04.001.2.103A,"POLYGON((-53.79312165062666 -25.671034862783106, -53.79344797801155 -25.670953443784295, -53.79361371447251 -25.67149897441583, -53.793287385787416 -25.67158039389489, -53.79312165062666 -25.671034862783106))"
428848,4104501,01.04.002.12.0404,"POLYGON((-53.78314492153938 -25.688615292517063, -53.78440575876135 -25.688255504511755, -53.78361672669617 -25.6890166773972, -53.782340729913805 -25.689391365847005, -53.78314492153938 -25.688615292517063))"
428849,4104501,01.02.004.0.0034,"POLYGON((-53.8088315682476 -25.66274090561295, -53.80909590205255 -25.66361065794058, -53.80914876934608 -25.663784608299117, -53.80799714092963 -25.664072081847298, -53.8088315682476 -25.66274090561295))"
428850,4104501,01.04.001.2.0106,"POLYGON((-53.79596249488615 -25.671478274543457, -53.79620825172838 -25.671250617173136, -53.79649862801532 -25.67220632124775, -53.79620589267442 -25.672279365131256, -53.79596249488615 -25.671478274543457))"
428851,4104501,01.06.003.4.0016,"POLYGON((-53.811978770751715 -25.681603698570385, -53.81317637632865 -25.681772613429292, -53.813308586154434 -25.682207481682585, -53.812110976083 -25.682038568300047, -53.811978770751715 -25.681603698570385))"
428852,4104501,01.06.004.1.0070,"POLYGON((-53.81517235915718 -25.655170448259152, -53.81563498121538 -25.655242087067805, -53.81522523007778 -25.655344396161862, -53.81476260773029 -25.655272756065838, -53.81517235915718 -25.655170448259152))"
428858,4104501,01.03.001.2.0090,"POLYGON((-53.80438672750192 -25.66385580291673, -53.80496600726442 -25.663954506568768, -53.80445544613504 -25.66408194001443, -53.803748524980286 -25.664015090634415, -53.80438672750192 -25.66385580291673))"
428874,4104501,01.04.002.12.0407,"POLYGON((-53.781314145549224 -25.688763986201533, -53.78172471715575 -25.689092322159023, -53.781065869278606 -25.689768714627224, -53.78065529678415 -25.68944037688104, -53.781314145549224 -25.688763986201533))"
428875,4104501,01.04.001.1.0084,"POLYGON((-53.80247951779096 -25.650354847746357, -53.802853798631254 -25.65026142781078, -53.80415616454783 -25.652475358398124, -53.804155942711134 -25.652475480577987, -53.80247951779096 -25.650354847746357))"
428883,4104501,01.03.001.0.0042,"POLYGON((-53.80213133943611 -25.668536248718976, -53.802078479283665 -25.668362295236548, -53.80239564286027 -25.669406015596326, -53.80218419976601 -25.668710202165734, -53.80213133943611 -25.668536248718976))"
428884,4104501,01.06.004.1.0062,"POLYGON((-53.812532581536566 -25.655261725690636, -53.81300566973251 -25.65514361146046, -53.81358449390103 -25.65537339319935, -53.813111405583 -25.65549150933371, -53.812532581536566 -25.655261725690636))"
