lotes_urbanos.codigo_ibge_municipio,lotes_urbanos.codigo_cartografico,lotes_urbanos.geometria,lotes_urbanos.area,testada_m,profundidade_m,Adjacente
4104501,01.03.002.3.0054.070A,"MULTIPOLYGON(((-53.80171611117089 -25.6806682008282,-53.80159716130499 -25.68027680656876,-53.80150117759909 -25.680300759236015,-53.801620127190546 -25.680692153596947,-53.80171611117089 -25.6806682008282)))",450.0000,9.98,45.12,
4104501,01.03.002.3.0054.0300,"MULTIPOLYGON(((-53.80246383455926 -25.68108982901844,-53.80234488174825 -25.680698435628713,-53.80215291403192 -25.680746341917825,-53.80227186629406 -25.68113773551053,-53.80246383455926 -25.68108982901844)))",900.0000,19.96,45.12,
4104501,01.02.002.0.0033.0300,"MULTIPOLYGON(((-53.80607404520966 -25.677380783283652,-53.80602117425228 -25.677206832222662,-53.80554127319938 -25.677326608183627,-53.80559414354708 -25.677500559470293,-53.80607404520966 -25.677380783283652)))",1000.0000,20.06,49.90,"Rua Otavio Kischner"
4104501,01.06.004.1.0014.04AA,"MULTIPOLYGON(((-53.81061971723908 -25.657617362208594,-53.81056685149992 -25.65744341220563,-53.810446897172845 -25.657473358399105,-53.81049976275987 -25.657647308458543,-53.81061971723908 -25.657617362208594)))",250.0000,12.48,20.06,
4104501,01.03.002.3.0054.0600,"MULTIPOLYGON(((-53.80190807899845 -25.680620295110337,-53.801789128583685 -25.680228901053848,-53.80159716130504 -25.68027680656876,-53.80171611117093 -25.6806682008282,-53.80181209510689 -25.680644247999332,-53.80190807899845 -25.680620295110337)))",900.0000,9.98,45.12,
4104501,01.02.002.0.0033.020A,"MULTIPOLYGON(((-53.80501785889021 -25.676708655666843,-53.8049649898264 -25.676534704051008,-53.80484501497147 -25.676564647280294,-53.804897883882596 -25.67673859894829,-53.80501785889021 -25.676708655666843)))",250.0000,12.48,20.06,
4104501,01.02.002.0.0033.0900,"MULTIPOLYGON(((-53.805243572792506 -25.677026615286486,-53.80519070322143 -25.67685266380263,-53.804710802443694 -25.676972436982943,-53.804763671405105 -25.677146388692346,-53.805243572792506 -25.677026615286486)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.1100,"MULTIPOLYGON(((-53.810770558609406 -25.656924687595588,-53.810744125815056 -25.656837712614923,-53.8106481628797 -25.656861669652198,-53.810360273807134 -25.656933540403475,-53.81016834753697 -25.656981453937405,-53.81019477996598 -25.657068429053222,-53.810770558609406 -25.656924687595588)))",600.0000,10.03,59.88,
4104501,01.02.002.0.0033.0400,"MULTIPOLYGON(((-53.805258211722865 -25.67758440190666,-53.80520534180194 -25.677410450462094,-53.80486940986064 -25.677494292004234,-53.8049222793548 -25.677668243606607,-53.805258211722865 -25.67758440190666)))",700.0000,20.06,34.93,Rua Otavio Kischner
4104501,01.03.002.3.0054.0100,"MULTIPOLYGON(((-53.80229201412081 -25.680524482953125,-53.802232538252184 -25.68032878615041,-53.802040571054235 -25.680376692247844,-53.80210004664842 -25.680572389152033,-53.80229201412081 -25.680524482953125)))",450.0000,19.96,22.56,
4104501,01.06.004.1.0014.040A,"MULTIPOLYGON(((-53.81049976275987 -25.657647308458543,-53.810446897172845 -25.657473358399105,-53.81032694277654 -25.65750330449883,-53.810379808211344 -25.657677254614565,-53.81049976275987 -25.657647308458543)))",250.0000,12.48,20.06,Rua Maranhao
4104501,01.06.004.1.0014.0100,"MULTIPOLYGON(((-53.811214170300964 -25.656346069660728,-53.81116130446968 -25.65617211987214,-53.811041351582915 -25.65620206644048,-53.81109421726189 -25.656376016285463,-53.811214170300964 -25.656346069660728)))",250.0000,12.48,20.06,Rua Guaranis
4104501,01.06.004.1.0014.020B,"MULTIPOLYGON(((-53.81030252546573 -25.656573661655273,-53.8102496607914 -25.656399711438176,-53.810129707377676 -25.656429657293344,-53.81018257189988 -25.65660360756692,-53.81030252546573 -25.656573661655273)))",250.0000,12.48,20.06,
4104501,01.02.002.0.0033.02AA,"MULTIPOLYGON(((-53.80508496461198 -25.676504760727795,-53.8049649898264 -25.676534704051008,-53.80501785889021 -25.676708655666843,-53.80507072813111 -25.67688260723863,-53.805190703221456 -25.67685266380263,-53.80508496461198 -25.676504760727795)))",500.0000,12.48,40.11,
4104501,01.02.002.0.0033.0800,"MULTIPOLYGON(((-53.80591543287029 -25.676858929993532,-53.80586256244568 -25.676684978825485,-53.80538266322176 -25.676804754109707,-53.805435533036714 -25.676978705503423,-53.80591543287029 -25.676858929993532)))",1000.0000,20.06,49.90,
