inscricaoMunicipal;idLoteUrbano;areaTerreno;nomeLogradouro;numeroImovel
134830-2;01.01.004.0.0051.0208;1160.0;AV. INDEPENDENCIA;505
127051-2;01.03.002.0.0084.1700;1000.0;RUA CARAMURUS-3 PARTE;48>
11428-3;01.01.002.0.0031.020A;3025.85;AV. BRASIL;970
18520-2;01.06.004.1.0002.0300;250.0;RUA DIONISIO WONS-2 PARTE;1108
18732-2;01.06.004.1.0004.0200;250.0;RUA TERRITORIO DO ACRE-2 PARTE;847
19054-2;01.05.004.1.0006.1200;500.0;RUA GUAIRACAS-3 PARTE;2326
42676-1;01.05.004.1.0007.010A;250.0;RUA TUPINAMBAS-3 PARTE;2150
138029-1;01.05.004.1.0058.090A;730.0;AV. INDEPENDENCIA -3 PARTE;2413
1228-2;01.03.001.1.0011.0600;1020.0;RUA PADRE CIRILO-3 PARTE;2651
105848-1;01.04.001.2.071A.0800;352.0;RUA CARAZINHO-2 PARTE;78
47112-1;01.05.004.0.0035.0300;284.56;RUA PERNAMBUCO-3X PARTE;1700
112429-2;01.03.004.0.0050.0600;865.05;RUA GUAIRACAS;480
139289-2;01.01.004.0.0038.040A;720.0;RUA PERNAMBUCO-5 PARTE;1220
138266-5;01.01.002.0.0011.0600;1373.0;AV. BRASIL;714
138371-4;01.01.002.0.0011.0600;1373.0;AV. BRASIL;706
8974-4;01.01.002.0.0011.0600;1373.0;AV. BRASIL;710
138274-4;01.01.002.0.0011.0600;1373.0;AV. BRASIL;722
138339-3;01.01.002.0.0011.0600;1373.0;RUA TAMOIOS;1164
138479-4;01.01.002.0.0011.0600;1373.0;AV. BRASIL;706
138495-4;01.01.002.0.0011.0600;1373.0;AV. BRASIL;706
37800-2;01.01.002.0.0021.100A;624.0;RUA AIMORES; 1353
37796-2;01.01.002.0.0021.100A;624.0;RUA AIMORES; 1353
11479-2;01.01.002.0.0032.010B;200.0;RUA OTAVIO FRANCISCO DE MATTOS;533
130648-3;01.02.002.0.0042.0600;1000.0;RUA LUIZ GERALDO HOLLEN;181
35556-1;01.01.001.0.0027.010A;542.0;AV.  GOV.PEDRO V P DE SOUZA;1151
123781-1;01.04.002.12.0304.0500;300.0;RUA BETO MARCELLO - 2 PARTE;1177
103942-1;01.04.002.12.0401.1300;229.5;RUA LUIZ CAMPAGNOLO - 2 PARTE;1227
133787-1;01.04.002.4.CHAC.090A;2000.0;RUA NILO ADELVINO BERTICELLI-GARIBA- 02 PARTE;540
133752-1;01.04.002.4.CHAC.090A;2000.0;RUA NILO ADELVINO BERTICELLI-GARIBA- 02 PARTE;552
121134-1;01.04.002.12.0298.0300;300.0;RUA NATALINO CENSI -2 PARTE;1077
140449-1;01.06.002.3.CHAC.076A;14000.0;AV. RIO GRANDE DO SUL-2 PARTE;S/N
141844-0;01.04.002.3.0131.0500;276.0;RUA GENTIL ALCHIERI - 02 PARTE;661
5207-1;01.03.001.2.0043.1000;500.0;RUA LUIZ GERALDO HOLLEN;1232
18163-8;01.02.003.0.0002.0100;12000.0;AV. ESPIRITO SANTO;1205
18261-1;01.06.003.0.0003.1000;450.0;RUA TUPINAMBAS-2 PARTE;37
31925-1;01.01.001.0.0026.120A;500.0;RUA TAMOIOS;537
6246-1;01.03.001.0.0050.0100;2000.0;RUA OTAVIO FRANCISCO DE MATTOS;1202
86452-1;01.04.002.3.0045.120A;680.0;RUA  DR.LEOPOLDO SCHMIDT- 2 PARTE;571
8206-1;01.02.002.0.0004.0708;1525.0;AV. ESPIRITO SANTO;595
6866-1;01.03.001.0.0054.0900;1200.0;RUA OTAVIO FRANCISCO DE MATTOS;1038
31453-1;01.04.002.3.CHAC.010A;7936.0;RUA MINAS GERAIS-3 PARTE;629
47295-1;01.03.001.0.0050.0800;500.0;RUA LUIZ GERALDO HOLLEN;999
2992-1;01.01.001.0.0026.0600;1100.0;RUA BAHIA;933
36862-1;01.03.001.998.0085.085B;4107.5;RUA TAMOIOS;s/n
85987-2;01.01.001.0.0027.0500;900.0;AV.  GOV.PEDRO V P DE SOUZA;1131
21865-1;01.03.004.1.0026.0600;600.0;RUA PIAUI-3 PARTE;593
