quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria,quadras.area
4104501,01.04.001.1.0014,"MULTIPOLYGON(((-53.80620490647653 -25.663209419875553,-53.806152043692926 -25.6630354680577,-53.80609918108679 -25.66286151620416,-53.806046318658126 -25.662687564314854,-53.80599345640703 -25.662513612389976,-53.8059405943333 -25.662339660429424,-53.80591416336298 -25.662252684435725,-53.80588773243703 -25.662165708433115,-53.805834870718215 -25.661991756401225,-53.805657329374604 -25.662036071655237,-53.8055613610175 -25.662060025761008,-53.80534543205189 -25.66211392227929,-53.8052494635507 -25.662137876189824,-53.805153495005044 -25.662161830040287,-53.805019138966614 -25.662195365330067,-53.80491357344689 -25.66222171440368,-53.804793612563884 -25.662251656444482,-53.804673651611566 -25.66228159839151,-53.804726511856174 -25.662455550969,-53.80473708392635 -25.66249034148024,-53.80477937227813 -25.662629503510832,-53.80483223287763 -25.66280345601709,-53.80488509365458 -25.662977408487603,-53.80491152410962 -25.66306438470952,-53.804937954609 -25.663151360922527,-53.804990815740865 -25.6633253133217,-53.8050436770501 -25.6634992656852,-53.80533158577794 -25.663427403907793,-53.805523524708086 -25.663379495755883,-53.80571546346065 -25.663331587363587,-53.806041758932786 -25.66325014254521,-53.80620490647653 -25.663209419875553)))",16940.0000
4104501,01.03.001.1.0013,"MULTIPOLYGON(((-53.807323634534754 -25.66292874130011,-53.807123966204216 -25.662744647768385,-53.8066196498725 -25.662285981257213,-53.8065427121572 -25.66221600731417,-53.80643776405728 -25.66212055804673,-53.806303098895015 -25.66199808104663,-53.80619557677362 -25.66190029016037,-53.80599985930433 -25.661949142803135,-53.806037134966964 -25.662072899397693,-53.80607915226201 -25.662210070721382,-53.80610756566903 -25.662303569872613,-53.806113512667636 -25.662323139461158,-53.80613928302112 -25.662407941006013,-53.8061452300317 -25.662427510592067,-53.80622452372142 -25.66268843836326,-53.80626417071606 -25.66281890221876,-53.80630381781044 -25.662949366054196,-53.80636989652293 -25.663166805735354,-53.80665185333646 -25.663096426667977,-53.8066674002973 -25.66309254598273,-53.8068437910435 -25.663048516863245,-53.80685933799006 -25.663044636158528,-53.807323634534754 -25.66292874130011)),((-53.807149077426196 -25.66239396641386,-53.80693762251372 -25.661698155909058,-53.80649435784296 -25.661808800436624,-53.807149077426196 -25.66239396641386)))",10245.1562
4104501,01.02.001.0.0020,"MULTIPOLYGON(((-53.807308031461815 -25.666863424880614,-53.80725516496028 -25.666689473808535,-53.80720229863618 -25.66651552270088,-53.807149432489574 -25.666341571557446,-53.80709656652049 -25.666167620378417,-53.80704370072891 -25.665993669163715,-53.806990835114846 -25.665819717913326,-53.80650138276411 -25.665941888828698,-53.80630944035063 -25.66598979856505,-53.80617987912121 -25.66602213750124,-53.806069512084306 -25.66604968539748,-53.80582958354056 -25.66610957185448,-53.80588244768016 -25.666283523650602,-53.80593531199727 -25.66645747541106,-53.80596174422239 -25.66654445127795,-53.805988176491766 -25.666631427135933,-53.80604104116387 -25.666805378825035,-53.80609390601347 -25.66697933047846,-53.80614677104059 -25.667153282096216,-53.806626631506475 -25.667033507453805,-53.806818575382266 -25.666985597176215,-53.80701051908046 -25.666937686658276,-53.807308031461815 -25.666863424880614)))",14520.0000
4104501,01.04.002.12.0397,"MULTIPOLYGON(((-53.78165125160022 -25.687260886392817,-53.78178838214331 -25.687120873522566,-53.78186107772634 -25.687046649782022,-53.781933773218974 -25.686972426019413,-53.78200646862334 -25.686898202219883,-53.78207918171814 -25.686823619750626,-53.782151879030536 -25.68674939376235,-53.782224576253526 -25.686675167744575,-53.78233196971501 -25.68656551561881,-53.78222770549197 -25.68648186399157,-53.78212716512772 -25.6864011998396,-53.78202662636081 -25.686320366956142,-53.781922371621036 -25.686236532495734,-53.78181498110137 -25.686346181176102,-53.7817422858748 -25.686420404849432,-53.78166959055535 -25.68649462850217,-53.781596895143146 -25.686568852134336,-53.781524199648814 -25.68664307571927,-53.78145150405921 -25.68671729929162,-53.78137880838272 -25.686791522826482,-53.7812871593164 -25.68688509792758,-53.78138492915214 -25.686989145723633,-53.781466404156475 -25.687075852171187,-53.78155439728891 -25.687169495062626,-53.78160633609152 -25.68722476859062,-53.78165125160022 -25.687260886392817)))",5495.8643
4104501,01.04.002.12.0382,"MULTIPOLYGON(((-53.78677666870274 -25.685216726141242,-53.78680813349433 -25.685321162770478,-53.78683959834578 -25.68542559937349,-53.78687106326055 -25.68553003596392,-53.786902528238855 -25.685634472541853,-53.78693399328069 -25.685738909107197,-53.78696545838594 -25.685843345659606,-53.78699692355477 -25.685947782199513,-53.78702838879108 -25.686052218740024,-53.78705985408684 -25.686156655254315,-53.787112374432205 -25.68633097512033,-53.787291673078855 -25.68624161328493,-53.78733738469883 -25.686221426089844,-53.78756510149308 -25.686120861286618,-53.787508627675244 -25.685933421535946,-53.78747716207253 -25.68582898512989,-53.78744569653611 -25.685724548724554,-53.787414231063664 -25.685620112306534,-53.78738276565447 -25.68551567587584,-53.78735130030874 -25.685411239432295,-53.787319835026594 -25.685306802976342,-53.787288369807705 -25.685202366507628,-53.7872569046495 -25.68509793001294,-53.78701678681369 -25.68515732826776,-53.78677666870274 -25.685216726141242)))",6123.6816
4104501,01.04.002.12.0387,"MULTIPOLYGON(((-53.7856412184353 -25.686424398010722,-53.78569309000667 -25.686387510696743,-53.78577808048748 -25.68632707153387,-53.785707202326805 -25.68608823986805,-53.78563656530305 -25.68585021957316,-53.785494580358524 -25.68593093765,-53.785404300406555 -25.685983985512483,-53.78531402037392 -25.68603703331874,-53.78517889072662 -25.686142355632317,-53.78510410004436 -25.686192110506333,-53.785016315040814 -25.68625158044242,-53.78492917637006 -25.68631177880153,-53.78480163139904 -25.686402041076146,-53.78487953579772 -25.68648983603517,-53.78495743702799 -25.68657762723969,-53.785041570487635 -25.686672441682177,-53.78512882392917 -25.68677077197079,-53.78525643361722 -25.686680582477358,-53.78534365296829 -25.686620474495165,-53.78543154930154 -25.686561129788366,-53.78552012453181 -25.686502550121215,-53.7856412184353 -25.686424398010722)))",4893.1426
4104501,01.03.001.0.0085,"MULTIPOLYGON(((-53.80432927700813 -25.668945426632316,-53.80424998181192 -25.668684498027336,-53.804220907006716 -25.66858882418542,-53.804191832255206 -25.668493150332715,-53.80416007144874 -25.668391486319052,-53.80412263046062 -25.668267131860222,-53.80408826961026 -25.668154062717363,-53.80400681236714 -25.667884316471675,-53.80386285229596 -25.667920246580653,-53.80371889212494 -25.667956176554515,-53.80357493185408 -25.667992106393083,-53.803430971483394 -25.668028036096437,-53.80351290746066 -25.66829766299391,-53.803547267836066 -25.66841073231249,-53.80358162828656 -25.668523801616,-53.80361598881195 -25.66863687090444,-53.80364506316124 -25.668732544905957,-53.80367413756422 -25.66882821889669,-53.803753431663466 -25.66908914790752,-53.80396457514197 -25.669036450357794,-53.80407974422148 -25.66900770611717,-53.80419491323721 -25.66897896179002,-53.80432927700813 -25.668945426632316)))",7317.1279
4104501,01.04.002.3.0035,"MULTIPOLYGON(((-53.80115475681103 -25.67860839388385,-53.80101082232849 -25.678479837375296,-53.800968634721414 -25.67844215701164,-53.80088674120697 -25.678369012734652,-53.80074532307847 -25.67824270292037,-53.80046806641102 -25.67799506553959,-53.80055756113582 -25.678289558056782,-53.80060320905991 -25.67843976703126,-53.800629641039386 -25.67852674384279,-53.800656073063244 -25.678613720645316,-53.80068972109384 -25.67872444210214,-53.800925838430274 -25.67866551996338,-53.80115475681103 -25.67860839388385)))",2031.4777
4104501,01.04.002.3.0058,"MULTIPOLYGON(((-53.79872472408659 -25.682030014892547,-53.79868771977242 -25.681908246850014,-53.798658645015166 -25.68181257194723,-53.798605781957725 -25.681638617550917,-53.79855291907792 -25.681464663118962,-53.798526487704535 -25.68137768588957,-53.798500056375545 -25.681290708651268,-53.798433978247196 -25.681073265516655,-53.79829000046916 -25.68110919152308,-53.798184416701815 -25.68113553717516,-53.79806923434897 -25.681164277803518,-53.79795405193211 -25.681193018345283,-53.79802012929792 -25.681410461761775,-53.79803070170227 -25.681445252703256,-53.798072991390335 -25.68158441645483,-53.79812585366028 -25.681758371112316,-53.798178716107756 -25.681932325734063,-53.79820514739807 -25.68201930303161,-53.79824479441672 -25.68214976896119,-53.7984367664179 -25.682101867514156,-53.79853275235182 -25.682077916700425,-53.79872472408659 -25.682030014892547)))",5500.0000
4104501,01.04.001.1.084B,"MULTIPOLYGON(((-53.8033063021688 -25.649724975551823,-53.80234670680518 -25.64996449188507,-53.80243298293545 -25.650248468898248,-53.80299918195794 -25.6501071423425,-53.80306899450289 -25.650336924947236,-53.80346239270327 -25.65023873159689,-53.80339257874781 -25.650008946763208,-53.8033063021688 -25.649724975551823)))",4348.0034
