COD_MUNICIPIO,COD_UNICO_ENDERECO,NUM_QUADRA,NOM_LOGRADOURO,NUM_ENDERECO,NOM_LOGRADOURO_ADJACENTE,DIM_TESTADA,DIM_PROFUNDIDADE,AREA
COD_MUN,COD_UNICO_ENDERECO,ID_QUADRA,NOM_LOGRADOURO,NUM_ENDERE,NOM_LOGRADOURO_ADJACENTE,0.00,0.00,NULL
4104501,01.03.001.0.0086.0900,01.03.001.0.0086,"TRAVESSA TOCANTINS",,,10.00,38.55,NULL
4104501,01.03.001.0.0086.0700,01.03.001.0.0086,"TRAVESSA TOCANTINS",269,,10.00,28.87,NULL
4104501,01.03.001.0.0086.0600,01.03.001.0.0086,"TRAVESSA TOCANTINS",287,,10.00,34.75,NULL
4104501,01.03.001.0.0086.0400,01.03.001.0.0086,"TRAVESSA TOCANTINS",307,,10.00,44.48,NULL
4104501,01.03.001.0.0086.0300,01.03.001.0.0086,"TRAVESSA TOCANTINS",319,,10.00,39.00,NULL
4104501,01.03.001.0.0085.1500,01.03.001.0.0085,"TRAVESSA TOCANTINS",240,,10.00,39.20,NULL
4104501,01.03.001.0.0085.1300,01.03.001.0.0085,"TRAVESSA TOCANTINS",268,,10.00,33.00,NULL
4104501,01.03.001.0.0085.1100,01.03.001.0.0085,"TRAVESSA TOCANTINS",282,,10.00,33.00,NULL
4104501,01.03.001.0.0085.0900,01.03.001.0.0085,"TRAVESSA TOCANTINS",290,,10.00,36.10,NULL
4104501,01.03.001.0.0085.0700,01.03.001.0.0085,"TRAVESSA TOCANTINS",310,,10.00,41.80,NULL
4104501,01.03.001.0.0085.0500,01.03.001.0.0085,"TRAVESSA TOCANTINS",322,,10.00,38.93,NULL
4104501,01.04.001.2.0103.0500,01.04.001.2.0103,"TRAVESSA PEROBA",544,,10.00,22.68,NULL
4104501,01.05.004.1.0058.006A,01.05.004.1.0058,"TRAVESSA OLIVO ERNESTO CAPORAL",377,,10.00,57.00,NULL
4104501,01.06.003.4.0013.1400,01.06.003.4.0013,"TRAVESSA Nº 10",,,10.00,82.00,NULL
4104501,01.06.003.4.0013.1000,01.06.003.4.0013,"TRAVESSA Nº 10",,,10.00,66.00,NULL
4104501,01.06.003.4.0013.0900,01.06.003.4.0013,"TRAVESSA Nº 10",,,10.00,66.00,NULL
4104501,01.06.003.4.0013.0800,01.06.003.4.0013,"TRAVESSA Nº 10",,,10.00,66.00,NULL
4104501,01.06.003.4.0013.0700,01.06.003.4.0013,"TRAVESSA Nº 10",,,10.00,66.00,NULL
4104501,01.06.003.4.0013.010D,01.06.003.4.0013,"TRAVESSA Nº 10",70,,10.00,26.95,NULL
4104501,01.06.003.4.0013.010C,01.06.003.4.0013,"TRAVESSA Nº 10",56,,10.00,24.60,NULL
4104501,01.06.003.4.0013.010B,01.06.003.4.0013,"TRAVESSA Nº 10",44,,10.00,28.20,NULL
4104501,01.06.003.4.0014.1400,01.06.003.4.0014,"TRAVESSA Nº 03",,,10.00,112.50,NULL
4104501,01.06.003.4.0008.1200,01.06.003.4.0008,"TRAVESSA Nº 03",,,10.00,100.00,NULL
4104501,01.04.002.3.087A.0500,01.04.002.3.087A,"TRAVESSA MARIA FIAMETTI",25,,10.00,28.84,NULL
4104501,01.04.002.3.087A.0400,01.04.002.3.087A,"TRAVESSA MARIA FIAMETTI",37,,10.00,28.84,NULL
4104501,01.04.002.3.087A.0300,01.04.002.3.087A,"TRAVESSA MARIA FIAMETTI",49,,10.00,28.84,NULL
4104501,01.04.002.3.087A.0200,01.04.002.3.087A,"TRAVESSA MARIA FIAMETTI",61,,10.00,28.84,NULL
4104501,01.04.002.3.087A.0100,01.04.002.3.087A,"TRAVESSA MARIA FIAMETTI",132,,10.00,47.84,NULL
4104501,01.04.002.3.0087.2000,01.04.002.3.0087,"TRAVESSA MARIA FIAMETTI",14,,10.00,30.00,NULL
4104501,01.04.002.3.0087.1900,01.04.002.3.0087,"TRAVESSA MARIA FIAMETTI",26,,10.00,30.00,NULL
4104501,01.04.002.3.0087.1800,01.04.002.3.0087,"TRAVESSA MARIA FIAMETTI",40,,10.00,30.00,NULL
4104501,01.04.002.3.0087.1700,01.04.002.3.0087,"TRAVESSA MARIA FIAMETTI",58,,10.00,30.00,NULL
4104501,01.04.002.3.0087.1600,01.04.002.3.0087,"TRAVESSA MARIA FIAMETTI",64,,10.00,30.00,NULL
4104501,01.04.001.2.103A.0200,01.04.001.2.103A,"TRAVESSA MARFIM",18,,10.00,22.68,NULL
4104501,01.04.001.2.0103.0300,01.04.001.2.0103,"TRAVESSA MARFIM",05,,10.00,22.66,NULL
4104501,01.04.001.2.0103.0200,01.04.001.2.0103,"TRAVESSA MARFIM",15,,10.00,22.68,NULL
4104501,01.03.002.4.098A.2000,01.03.002.4.098A,"TRAVESSA GUARACI",27,,10.00,31.73,NULL
4104501,01.03.002.4.098A.1800,01.03.002.4.098A,"TRAVESSA GUARACI",41,,10.00,31.73,NULL
4104501,01.03.002.4.098A.1600,01.03.002.4.098A,"TRAVESSA GUARACI",49,,10.00,31.73,NULL
4104501,01.03.002.4.098A.1400,01.03.002.4.098A,"TRAVESSA GUARACI",61,,10.00,31.73,NULL
4104501,01.03.002.4.098A.1200,01.03.002.4.098A,"TRAVESSA GUARACI",77,,10.00,31.73,NULL
4104501,01.03.002.4.098A.1000,01.03.002.4.098A,"TRAVESSA GUARACI",85,,10.00,31.73,NULL
4104501,01.03.002.4.098A.0800,01.03.002.4.098A,"TRAVESSA GUARACI",99,,10.00,31.73,NULL
4104501,01.03.002.4.098A.0600,01.03.002.4.098A,"TRAVESSA GUARACI",107,,10.00,31.73,NULL
4104501,01.03.002.4.0098.1900,01.03.002.4.0098,"TRAVESSA GUARACI",12,,10.00,31.05,NULL
4104501,01.03.002.4.0098.1800,01.03.002.4.0098,"TRAVESSA GUARACI",28,,10.00,31.73,NULL
4104501,01.03.002.4.0098.1600,01.03.002.4.0098,"TRAVESSA GUARACI",36,,10.00,31.73,NULL
4104501,01.03.002.4.0098.1400,01.03.002.4.0098,"TRAVESSA GUARACI",54,,10.00,31.73,NULL
4104501,01.03.002.4.0098.1100,01.03.002.4.0098,"TRAVESSA GUARACI",60,,10.00,31.73,NULL
4104501,01.03.002.4.0098.1000,01.03.002.4.0098,"TRAVESSA GUARACI",72,,10.00,31.73,NULL
4104501,01.03.002.4.0098.0900,01.03.002.4.0098,"TRAVESSA GUARACI",88,,10.00,31.73,NULL
