"OSM_ID_MUNICIPIO";"COD_PAIS";"OSM_NOM_MUNICIPIO"
90128;"BR";"Bragança"
90129;"BR";"Augusto Corrêa"
90130;"BR";"Viseu"
90131;"BR";"Tracuateua"
90132;"BR";"Quatipuru"
90134;"BR";"Primavera"
90135;"BR";"Peixe-Boi"
90136;"BR";"Capanema"
90139;"BR";"Bonito"
90140;"BR";"Ourém"
109467;"EC";"Tenguel"
109577;"CL";"Renca"
110710;"CL";"Puchuncaví"
110713;"CL";"Zapallar"
110719;"CL";"Quintero"
110722;"CL";"Concón"
110804;"CL";"Viña del Mar"
110807;"CL";"Quilpué"
110808;"CL";"Valparaíso"
112129;"CL";"Casablanca"
112799;"CL";"Villa Alemana"
113178;"CL";"Limache"
113185;"CL";"Olmué"
113196;"CL";"Quillota"
113197;"CL";"La Cruz"
113199;"CL";"Nogales"
113201;"CL";"La Ligua"
113203;"CL";"Papudo"
113204;"CL";"Cabildo"
113226;"CL";"La Calera"
113227;"CL";"Catemu"
162983;"CL";"Providencia"
162984;"CL";"Recoleta"
162990;"CL";"Vitacura"
162991;"CL";"Las Condes"
162992;"CL";"La Reina"
162993;"CL";"Ñuñoa"
164090;"CL";"Lo Barnechea"
164091;"CL";"Huechuraba"
164101;"CL";"Colina"
164102;"CL";"Quilicura"
164137;"CL";"Peñalolén"
164609;"CL";"Santiago"
166556;"CL";"San José de Maipo"
166557;"CL";"Los Andes"
166571;"CL";"Puente Alto"
168055;"CL";"San Joaquín"
168056;"CL";"San Miguel"
168057;"CL";"Pedro Aguirre Cerda"
168058;"CL";"Estación Central"
168059;"CL";"Quinta Normal"
168060;"CL";"Independencia"
168259;"CL";"Maipú"
168260;"CL";"Cerrillos"
168268;"CL";"Lo Prado"
168269;"CL";"Pudahuel"
168271;"CL";"Cerro Navia"
168295;"CL";"Lampa"
168297;"CL";"Curacaví"
175820;"CL";"Padre Hurtado"
175894;"CL";"Tiltil"
175918;"CL";"Hijuelas"
175943;"CL";"Llay-Llay"
175944;"CL";"Panquehue"
175949;"CL";"Rinconada"
176528;"CL";"San Felipe"
176529;"CL";"Calle Larga"
176538;"CL";"Putaendo"
185548;"BR";"Chaves"
185549;"BR";"Rio Maria"
185550;"BR";"São Geraldo do Araguaia"
185551;"BR";"Santa Bárbara do Pará"
185552;"BR";"Pacajá"
185553;"BR";"Aurora do Pará"
185554;"BR";"Altamira"
185555;"BR";"São João do Araguaia"
185556;"BR";"Sapucaia"
185557;"BR";"Redenção"
185558;"BR";"Floresta do Araguaia"
185559;"BR";"São Domingos do Araguaia"
185560;"BR";"Abel Figueiredo"
185561;"BR";"Moju"
185562;"BR";"Tucuruí"
185563;"BR";"Irituia"
185564;"BR";"Rurópolis"
185565;"BR";"Eldorado do Carajás"
185566;"BR";"Palestina do Pará"
185567;"BR";"Belém"
185568;"BR";"Prainha"
185569;"BR";"Óbidos"
185570;"BR";"Aveiro"
185571;"BR";"Benevides"
185572;"BR";"Anapu"
185573;"BR";"Nova Esperança do Piriá"
185574;"BR";"Ipixuna do Pará"
185575;"BR";"Parauapebas"
185576;"BR";"Curuçá"
185577;"BR";"Jacareacanga"
185578;"BR";"Anajás"
185580;"BR";"Santa Maria do Pará"
185581;"BR";"Medicilândia"
185582;"BR";"Belterra"
185583;"BR";"Salvaterra"
185584;"BR";"Melgaço"
185585;"BR";"Igarapé-Açu"
185586;"BR";"Salinópolis"
185587;"BR";"Trairão"
185588;"BR";"Maracanã"
185589;"BR";"Mãe do Rio"
185590;"BR";"Bom Jesus do Tocantins"
185591;"BR";"São Sebastião da Boa Vista"
185592;"BR";"Magalhães Barata"
185593;"BR";"Monte Alegre"
185594;"BR";"Tucumã"
185595;"BR";"Brejo Grande do Araguaia"
185596;"BR";"Soure"
185597;"BR";"Terra Santa"
185598;"BR";"Colares"
185599;"BR";"Santa Cruz do Arari"
185600;"BR";"Santa Maria das Barreiras"
185601;"BR";"Itupiranga"
185602;"BR";"Garrafão do Norte"
185603;"BR";"Rondon do Pará"
185604;"BR";"Brasil Novo"
185605;"BR";"Ourilândia do Norte"
185606;"BR";"Muaná"
185607;"BR";"Curuá"
185608;"BR";"Pau d'Arco"
185609;"BR";"Bujaru"
185610;"BR";"Ananindeua"
