CODIGO;WKT
01.02.002.0.0033;POLYGON((-53.8058668 -25.6762023, -53.8062077 -25.6773609, -53.8048796 -25.6777825, -53.8045026 -25.6765563, -53.8058668 -25.6762023))
01.03.001.0.0046;POLYGON((-53.8036948 -25.6691607, -53.8040936 -25.6703757, -53.8027037 -25.6707312, -53.8023198 -25.6694972, -53.8036948 -25.6691607))
01.03.001.2.0048;POLYGON((-53.8008634 -25.6698613, -53.8012486 -25.6711035, -53.7997672 -25.6714752, -53.7994051 -25.6702495, -53.8008634 -25.6698613))
01.03.002.0.0034;POLYGON((-53.8045026 -25.6765563, -53.8048796 -25.6777825, -53.8035364 -25.6781216, -53.8031532 -25.6768767, -53.8045026 -25.6765563))
01.03.002.3.0053;POLYGON((-53.8038931 -25.6796331, -53.8042263 -25.6807077, -53.8027287 -25.681099, -53.8023996 -25.6800076, -53.8038931 -25.6796331))
01.03.002.3.0054;POLYGON((-53.8022714 -25.6800403, -53.8025915 -25.6811351, -53.8014431 -25.6814349, -53.801106 -25.6803347, -53.8022714 -25.6800403))
01.03.002.3.0065;POLYGON((-53.8042263 -25.6807077, -53.8046019 -25.6819423, -53.8031495 -25.6824939, -53.8027287 -25.681099, -53.8042263 -25.6807077))
01.04.001.1.0005;POLYGON((-53.805338 -25.6560251, -53.8057624 -25.657421, -53.8046214 -25.6577094, -53.8041967 -25.6563104, -53.805338 -25.6560251))
01.04.004.0.0036;POLYGON((-53.8119854 -25.6631729, -53.8123585 -25.664381, -53.810987 -25.6647213, -53.8106187 -25.6635154, -53.8119854 -25.6631729))
01.04.004.1.0022;POLYGON((-53.8076601 -25.6584386, -53.8080902 -25.6598447, -53.8067666 -25.6601591, -53.806335 -25.6587672, -53.8076601 -25.6584386))
01.04.004.1.0029;POLYGON((-53.8098223 -25.6609079, -53.8102414 -25.6622807, -53.8089363 -25.6626106, -53.8085151 -25.6612336, -53.8098223 -25.6609079))
01.05.004.1.0019;POLYGON((-53.8103197 -25.6577791, -53.8107533 -25.6591833, -53.8093995 -25.6595238, -53.8089745 -25.6581127, -53.8103197 -25.6577791))
01.06.002.3.0029;POLYGON((-53.7954791 -25.6775208, -53.795852 -25.6786936, -53.7947266 -25.6789894, -53.7943823 -25.6778049, -53.7954791 -25.6775208))
01.06.004.1.0018;POLYGON((-53.8116652 -25.6574455, -53.8120691 -25.6588255, -53.8107533 -25.6591833, -53.8103197 -25.6577791, -53.8116652 -25.6574455))
01.06.004.1.0023;POLYGON((-53.8120691 -25.6588255, -53.8124978 -25.6602386, -53.8111815 -25.6605698, -53.8107533 -25.6591833, -53.8120691 -25.6588255))
