CI_ID_QUADRA;GEOMETRIA
01.06.004.1.0023;POLYGON ((-53.81201658308948 -25.658954207360587, -53.81086524440703 -25.659238004256686, -53.81123426691052 -25.660454392639412, -53.812385605592965 -25.660170595743313, -53.81201658308948 -25.658954207360587))
01.06.004.1.0018;POLYGON ((-53.81160042929786 -25.657561413242785, -53.81044632067522 -25.657835870968295, -53.81080322070214 -25.659055286757212, -53.81195732932478 -25.658780829031706, -53.81160042929786 -25.657561413242785))
01.06.002.3.0029;POLYGON ((-53.795422981589404 -25.67760912297403, -53.79446662425487 -25.677856111268884, -53.79479701841058 -25.67889522702597, -53.795753375745115 -25.678648238731117, -53.795422981589404 -25.67760912297403))
01.05.004.1.0019;POLYGON ((-53.81024911283354 -25.657897997551363, -53.80909922415105 -25.65818649879027, -53.809474387166475 -25.659401452448638, -53.81062427584897 -25.659112951209735, -53.81024911283354 -25.657897997551363))
01.04.004.1.0029;POLYGON ((-53.80976859545653 -25.661007501184592, -53.80861774162844 -25.66129295729847, -53.808988954543466 -25.662508898815407, -53.81013980837156 -25.662223442701528, -53.80976859545653 -25.661007501184592))
01.04.004.1.0022;POLYGON ((-53.80760236911741 -25.65855152482967, -53.806451698290964 -25.658837501833723, -53.806823580882586 -25.660053275170338, -53.807974251709034 -25.65976729816628, -53.80760236911741 -25.65855152482967))
01.04.004.0.0036;POLYGON ((-53.81190156603585 -25.663282714080392, -53.810751633423486 -25.663571241472628, -53.811073233964144 -25.6646125859196, -53.81222316657651 -25.664324058527367, -53.81190156603585 -25.663282714080392))
01.04.001.1.0005;POLYGON ((-53.80527913434329 -25.656138663269775, -53.80431032325141 -25.656377997336765, -53.80468011565673 -25.657594286730223, -53.8056489267486 -25.657354952663237, -53.80527913434329 -25.656138663269775))
01.03.002.3.0065;POLYGON ((-53.804163197553486 -25.680786648136966, -53.802819984261696 -25.68111854933114, -53.80319000244652 -25.682334801863036, -53.8045332157383 -25.682002900668866, -53.804163197553486 -25.680786648136966))
01.03.002.3.0054;POLYGON ((-53.80219394529159 -25.680142954172606, -53.80123191398884 -25.680371413806835, -53.801512054708404 -25.6813295458274, -53.80247408601116 -25.681101086193166, -53.80219394529159 -25.680142954172606))
01.03.002.3.0053;POLYGON ((-53.80383467084662 -25.679715801557535, -53.8024932871645 -25.680053620137407, -53.80278917915337 -25.681007898442463, -53.804130562835496 -25.68067007986259, -53.80383467084662 -25.679715801557535))
01.03.002.0.0034;POLYGON ((-53.804433034394464 -25.676669780839852, -53.8032825950401 -25.676957082774628, -53.80360286560554 -25.677998769160144, -53.8047533049599 -25.677711467225365, -53.804433034394464 -25.676669780839852))
01.03.001.2.0048;POLYGON ((-53.800830292831975 -25.669982918692774, -53.79948903527668 -25.670320789372106, -53.79981185716801 -25.67136183130722, -53.801153114723306 -25.671023960627892, -53.800830292831975 -25.669982918692774))
01.03.001.0.0046;POLYGON ((-53.80360520168494 -25.669270325934935, -53.80246052740629 -25.669575543462837, -53.80280074831507 -25.67061207406506, -53.80394542259371 -25.670306856537156, -53.80360520168494 -25.669270325934935))
01.02.002.0.0033;POLYGON ((-53.80578741452804 -25.67631519817809, -53.8046335118772 -25.676590976427665, -53.80494093547197 -25.67763580182191, -53.80609483812281 -25.677360023572337, -53.80578741452804 -25.67631519817809))
01.06.004.1.0018;POLYGON((-53.81159172744374 -25.657557690193787, -53.810440869344205 -25.657843031154027, -53.81081192255624 -25.65905900980621, -53.81196278065577 -25.65877366884597, -53.81159172744374 -25.657557690193787))
