codigo_ibge_municipio,_c1,_c2,_c3
4118402,01.03.020.0095,136 - SALGADO FILHO,950
4118402,02.17.011.0151,875 - HELIO DE FREITAS,1293
4118402,01.03.369.0078,593 - INGO KRAMBECK,S/N
4118402,01.03.369.0015,593 - INGO KRAMBECK,S/N
4118402,01.06.275.0060,744 - NELSON MOREIRA BATISTA,S/N
4118402,01.06.278.0045,745 - APRIGIO PEREIRA DA SILVA,S/N
4118402,01.01.001.0164,84 - SANTA CATARINA,1561
4118402,01.02.267.0352,6713 - DEPUTADO HEITOR ALENCAR FURTADO,8279
4118402,01.02.267.0352,6713 - DEPUTADO HEITOR ALENCAR FURTADO,8279
4118402,01.02.393.0023,895 - PROJETADA B - COND RESD ROYAL PARK,SN
4118402,01.06.282.0030,747 - JOSE GREGORIO SOBRINHO,S/N
4118402,01.06.282.0030,747 - JOSE GREGORIO SOBRINHO,S/N
4118402,01.01.001.0189,84 - SANTA CATARINA,1545
4118402,01.04.207.0177,12 - OPERARIOS,S/N
4118402,01.02.078.0089,248 - ODINOT MACHADO,1520
4118402,01.02.074.0249,244 - CASTRO,1555
4118402,01.02.074.0175,226 - JOAQUIM DA SILVA PINTO,2247
4118402,01.02.074.0175,226 - JOAQUIM DA SILVA PINTO,2247
4118402,01.02.067.0089,92 - ANTONIO FELIPPE,2596
4118402,01.06.285.0240,749 - JOSE UTRILA GARCIA,S/N
4118402,01.02.225.0151,198 - MARIA ANCHIETA DE MORAIS,160
4118402,01.02.225.0044,203 - DO AEROPORTO,129
4118402,01.02.225.0339,196 - SAO CRISTOVAO,189
4118402,01.02.225.0339,196 - SAO CRISTOVAO,189
4118402,01.02.225.0339,196 - SAO CRISTOVAO,189
4118402,01.06.301.0311,866 - PAULO ALVES DE SOUZA,S/N
4118402,01.06.301.0327,866 - PAULO ALVES DE SOUZA,S/N
4118402,04.01.020.0360,505 - RUI BARBOSA,1331
4118402,01.02.321.0102,771 - JOSE FELIPE 'TEQUINHA',S/N
4118402,01.06.301.0319,866 - PAULO ALVES DE SOUZA,63
4118402,01.06.301.0287,866 - PAULO ALVES DE SOUZA,S/N
4118402,01.06.301.0231,866 - PAULO ALVES DE SOUZA,S/N
4118402,01.06.301.0247,866 - PAULO ALVES DE SOUZA,127
4118402,01.04.233.0107,37 - LEODEGARIO GOMES PATRIOTA,396
4118402,01.04.233.0160,6713 - DEPUTADO HEITOR ALENCAR FURTADO,1038
4118402,01.04.233.0160,6713 - DEPUTADO HEITOR ALENCAR FURTADO,1938
4118402,01.03.452.0094,624 - JOAO DOS SANTOS MAIA,540
4118402,01.03.452.0080,624 - JOAO DOS SANTOS MAIA,552
4118402,01.03.452.0087,624 - JOAO DOS SANTOS MAIA,546
4118402,04.01.016.0210,504 - MANOEL BENTO GONCALVES,1296
4118402,04.01.016.0210,504 - MANOEL BENTO GONCALVES,1296
4118402,04.01.016.0210,504 - MANOEL BENTO GONCALVES,1296
4118402,04.01.016.0165,513 - IGUATEMI,SN
4118402,01.04.356.0139,931 - MIGUEL CARLOS DECAROLLI,SN
4118402,01.04.357.0135,553 - PIONEIRO SEBASTIAO ALVES DA SILVA,460
4118402,01.04.357.0142,553 - PIONEIRO SEBASTIAO ALVES DA SILVA,464
4118402,01.04.357.0149,553 - PIONEIRO SEBASTIAO ALVES DA SILVA,468
4118402,01.02.134.0166,228 - FRANCISCO VIEIRA BORGES,411
4118402,01.02.134.0194,228 - FRANCISCO VIEIRA BORGES,377
4118402,01.03.070.0200,168 - INDUSTRIAL ALBINO FERRACINI,130
4118402,02.01.045.1652,95250 - PRC 158-0055,SN
4118402,01.04.156.0015,10 - ERNESTO BIAZUS,SN
4118402,01.04.156.0353,48 - PIONEIRO SIMIAO,1117
4118402,01.01.052.0030,87 - SERAFIM AFONSO COSTA,1808
4118402,01.04.150.0126,10 - ERNESTO BIAZUS,130
4118402,01.04.341.0086,927 - PEDRO FERREIRA DO NASCIMENTO,340
4118402,01.04.341.0093,927 - PEDRO FERREIRA DO NASCIMENTO,346
4118402,01.04.341.0100,927 - PEDRO FERREIRA DO NASCIMENTO,352
