,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
23571,01.01.001_AMAZONAS,01.01.001,105,AMAZONAS
5999,01.01.001_SALVADOR,01.01.001,97,SALVADOR
6,01.01.001_SANTA CATARINA,01.01.001,84,SANTA CATARINA
2790,01.01.002_ETTORE GIOVINE,01.01.002,106,ETTORE GIOVINE
2141,01.01.002_RIO GRANDE DO SUL,01.01.002,83,RIO GRANDE DO SUL
2140,01.01.002_SALVADOR,01.01.002,97,SALVADOR
1107,01.01.003_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.003,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
3284,01.01.003_ETTORE GIOVINE,01.01.003,106,ETTORE GIOVINE
3118,01.01.003_RIO GRANDE DO SUL,01.01.003,83,RIO GRANDE DO SUL
2986,01.01.003_SANTA CATARINA,01.01.003,84,SANTA CATARINA
3124,01.01.004_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.004,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
3059,01.01.004_PARA,01.01.004,108,PARA
2930,01.01.004_RIO GRANDE DO SUL,01.01.004,83,RIO GRANDE DO SUL
3133,01.01.004_SANTA CATARINA,01.01.004,84,SANTA CATARINA
29291,01.01.005_PARA,01.01.005,108,PARA
6032,01.01.005_PARAIBA,01.01.005,109,PARAIBA
2934,01.01.005_RIO GRANDE DO SUL,01.01.005,83,RIO GRANDE DO SUL
2932,01.01.005_SANTA CATARINA,01.01.005,84,SANTA CATARINA
3063,01.01.006_PARAIBA,01.01.006,109,PARAIBA
3088,01.01.006_PIAUI,01.01.006,112,PIAUI
3087,01.01.006_RIO GRANDE DO SUL,01.01.006,83,RIO GRANDE DO SUL
3089,01.01.006_SANTA CATARINA,01.01.006,84,SANTA CATARINA
2944,01.01.007_PIAUI,01.01.007,112,PIAUI
3154,01.01.007_RIO GRANDE DO SUL,01.01.007,83,RIO GRANDE DO SUL
3095,01.01.007_SANTA CATARINA,01.01.007,84,SANTA CATARINA
3096,01.01.007_SOUZA NAVES,01.01.007,114,SOUZA NAVES
3618,01.01.008_MARECHAL CANDIDO RONDON,01.01.008,115,MARECHAL CANDIDO RONDON
3106,01.01.008_RIO GRANDE DO SUL,01.01.008,83,RIO GRANDE DO SUL
21522,01.01.008_SANTA CATARINA,01.01.008,84,SANTA CATARINA
2935,01.01.008_SOUZA NAVES,01.01.008,114,SOUZA NAVES
1129,01.01.009_AMAPA,01.01.009,116,AMAPA
769,01.01.009_MARECHAL CANDIDO RONDON,01.01.009,115,MARECHAL CANDIDO RONDON
2743,01.01.009_RIO GRANDE DO SUL,01.01.009,83,RIO GRANDE DO SUL
381,01.01.009_SANTA CATARINA,01.01.009,84,SANTA CATARINA
3606,01.01.010_AMAPA,01.01.010,116,AMAPA
3134,01.01.010_GUAPORE,01.01.010,117,GUAPORE
3645,01.01.010_RIO GRANDE DO SUL,01.01.010,83,RIO GRANDE DO SUL
3813,01.01.010_SANTA CATARINA,01.01.010,84,SANTA CATARINA
740,01.01.011_BELO HORIZONTE,01.01.011,99,BELO HORIZONTE
4084,01.01.011_GUAPORE,01.01.011,117,GUAPORE
3627,01.01.011_RIO GRANDE DO SUL,01.01.011,83,RIO GRANDE DO SUL
1772,01.01.012_BELO HORIZONTE,01.01.012,99,BELO HORIZONTE
4052,01.01.012_LUIZ SPIGOLON,01.01.012,118,LUIZ SPIGOLON
4053,01.01.012_SANTA CATARINA,01.01.012,84,SANTA CATARINA
10563,01.01.013_CURITIBA,01.01.013,85,CURITIBA
21593,01.01.013_GUAPORE,01.01.013,117,GUAPORE
9795,01.01.013_LUIZ SPIGOLON,01.01.013,118,LUIZ SPIGOLON
3656,01.01.013_SANTA CATARINA,01.01.013,84,SANTA CATARINA
15535,01.01.014_BELO HORIZONTE,01.01.014,99,BELO HORIZONTE
15269,01.01.014_CURITIBA,01.01.014,85,CURITIBA
15194,01.01.014_GUAPORE,01.01.014,117,GUAPORE
15085,01.01.015_AMAPA,01.01.015,116,AMAPA
14452,01.01.015_BELO HORIZONTE,01.01.015,99,BELO HORIZONTE
15090,01.01.015_SANTA CATARINA,01.01.015,84,SANTA CATARINA
13958,01.01.016_AMAPA,01.01.016,116,AMAPA
14396,01.01.016_CURITIBA,01.01.016,85,CURITIBA
12066,01.01.016_MARECHAL CANDIDO RONDON,01.01.016,115,MARECHAL CANDIDO RONDON
3655,01.01.016_SANTA CATARINA,01.01.016,84,SANTA CATARINA
5201,01.01.017_CURITIBA,01.01.017,85,CURITIBA
2950,01.01.017_MARECHAL CANDIDO RONDON,01.01.017,115,MARECHAL CANDIDO RONDON
4977,01.01.017_SANTA CATARINA,01.01.017,84,SANTA CATARINA
20778,01.01.017_SOUZA NAVES,01.01.017,114,SOUZA NAVES
4979,01.01.018_CURITIBA,01.01.018,85,CURITIBA
3016,01.01.018_PIAUI,01.01.018,112,PIAUI
20771,01.01.018_SANTA CATARINA,01.01.018,84,SANTA CATARINA
9174,01.01.018_SOUZA NAVES,01.01.018,114,SOUZA NAVES
11216,01.01.019_CURITIBA,01.01.019,85,CURITIBA
9171,01.01.019_PARAIBA,01.01.019,109,PARAIBA
4975,01.01.019_PIAUI,01.01.019,112,PIAUI
7758,01.01.019_SANTA CATARINA,01.01.019,84,SANTA CATARINA
13977,01.01.020_CURITIBA,01.01.020,85,CURITIBA
3660,01.01.020_PARA,01.01.020,108,PARA
14307,01.01.020_PARAIBA,01.01.020,109,PARAIBA
23517,01.01.020_SANTA CATARINA,01.01.020,84,SANTA CATARINA
