id_quadra,id_quadra_logradouro,cd_logradouro,nm_logradouro,nr_ui,qt_logradouros
01.04.402,"{'01.04.402_CEDRO', '01.04.402_FLAMBOYANT', '01.04.402_PEROBA', '01.04.402_MACIEIRA', '01.04.402_TAMAREIRA', '01.04.402_PAU BRASIL', '01.04.402_PALMEIRAS', '01.04.402_AMENDOEIRAS', '01.04.402_ARAUCÁRIAS', '01.04.402_IPES', '01.04.402_LIMOEIROS', '01.04.402_JABOTICABEIRA', '01.04.402_JACARANDA-COND RES BOUGAINVILLE RESIDENCE&RESORT', '01.04.402_FIGUEIRA', '01.04.402_PESSEGUEIRAS', '01.04.402_BOUNGAINVILLE', '01.04.402_LARANJEIRAS', '01.04.402_COQUEIROS', '01.04.402_JERIVAS'}","{'1007', '1010', '993', '821', '989', '999', '1008', '996', '1000', '991', '994', '992', '1006', '1001', '987', '988', '1005', '990', '1009'}","{'TAMAREIRA', 'ARAUCÁRIAS', 'PEROBA', 'FLAMBOYANT', 'FIGUEIRA', 'PESSEGUEIRAS', 'PAU BRASIL', 'AMENDOEIRAS', 'JACARANDA-COND RES BOUGAINVILLE RESIDENCE&RESORT', 'BOUNGAINVILLE', 'COQUEIROS', 'JABOTICABEIRA', 'CEDRO', 'IPES', 'JERIVAS', 'LARANJEIRAS', 'MACIEIRA', 'LIMOEIROS', 'PALMEIRAS'}","{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 300.0, nan, nan, nan}",19
01.03.162,"{'01.03.162_PROJETADA ""H"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_VISTA ALEGRE', '01.03.162_PROJETADA ""G"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_PROJETADA ""C"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_PROJETADA ""A"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_PROJETADA ""E"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_FLAUZINA DIAS VIEGAS', '01.03.162_PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA', '01.03.162_PROJETADA ""B"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_PROJETADA ""I"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_PROJETADA ""D"" COND BELLEVILLE PLACE RESIDENCIAL', '01.03.162_PROJETADA ""F"" COND BELLEVILLE PLACE RESIDENCIAL'}","{'188', '313', '1073', '1072', '1069', '1070', '54', '1071', '1074', '1076', '1075', '1077'}","{'PROJETADA ""F"" COND BELLEVILLE PLACE RESIDENCIAL', 'VISTA ALEGRE', 'PROJETADA ""E"" COND BELLEVILLE PLACE RESIDENCIAL', 'PROJETADA ""H"" COND BELLEVILLE PLACE RESIDENCIAL', 'PIONEIRA MARIA ROSA TEIXEIRA DE SOUZA', 'PROJETADA ""B"" COND BELLEVILLE PLACE RESIDENCIAL', 'PROJETADA ""G"" COND BELLEVILLE PLACE RESIDENCIAL', 'PROJETADA ""A"" COND BELLEVILLE PLACE RESIDENCIAL', 'PROJETADA ""C"" COND BELLEVILLE PLACE RESIDENCIAL', 'FLAUZINA DIAS VIEGAS', 'PROJETADA ""I"" COND BELLEVILLE PLACE RESIDENCIAL', 'PROJETADA ""D"" COND BELLEVILLE PLACE RESIDENCIAL'}","{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 153.0, 27.0}",12
01.06.124,"{'01.06.124_PAU BRASIL', '01.06.124_ITAUBA', '01.06.124_BURITI', '01.06.124_PRES TANCREDO NEVES', '01.06.124_GUARITA', '01.06.124_INGA', '01.06.124_JACARANDA - COND RES GREEN PARK', '01.06.124_MOGNO', '01.06.124_COSMO DAMIANI JACOVOZZI'}","{'824', '825', '823', '827', '64', '822', '342', '826', '821'}","{'MOGNO', 'COSMO DAMIANI JACOVOZZI', 'PAU BRASIL', 'JACARANDA - COND RES GREEN PARK', 'PRES TANCREDO NEVES', 'GUARITA', 'BURITI', 'INGA', 'ITAUBA'}","{nan, nan, nan, nan, 2661.0, 2757.0, 500.0, 55.5, 58.5}",9
01.02.253,"{'01.02.253_JOSE DATTO', '01.02.253_OTAVIO BAVIA', '01.02.253_CEL JOAO BATISTA LOPES', '01.02.253_NILTON DA CRUZ LEITE', '01.02.253_JOAO BERGAMINI', '01.02.253_GUERINO POMIN', '01.02.253_PRES TANCREDO NEVES', '01.02.253_ANTONIO MAROSTICA'}","{'340', '645', '64', '258', '644', '254', '444', '220'}","{'OTAVIO BAVIA', 'JOAO BERGAMINI', 'GUERINO POMIN', 'CEL JOAO BATISTA LOPES', 'PRES TANCREDO NEVES', 'NILTON DA CRUZ LEITE', 'JOSE DATTO', 'ANTONIO MAROSTICA'}","{nan, nan, nan, 805.0, 904.0, 3117.285714285714, 180.5, 727.6}",8
01.05.115,"{'01.05.115_AMAZONAS', '01.05.115_PRES TANCREDO NEVES', '01.05.115_NELSON LOPES DE OLIVEIRA', '01.05.115_RURAL', '01.05.115_RIO GRANDE DO SUL', '01.05.115_ETTORE GIOVINE'}","{'64', '106', '531', '829', '83', '105'}","{'RURAL', 'PRES TANCREDO NEVES', 'AMAZONAS', 'NELSON LOPES DE OLIVEIRA', 'RIO GRANDE DO SUL', 'ETTORE GIOVINE'}","{nan, 1377.3333333333333, nan, nan, 1150.5, 383.0}",6
01.02.010,"{'01.02.010_IRATI', '01.02.010_A - JAD OURO BRANCO', '01.02.010_PERCY GUIMARAES CLEVÉ', '01.02.010_CASTRO', '01.02.010_B-JAD OURO BRANCO', '01.02.010_SERAFIM AFONSO COSTA'}","{'87', '243', '919', '918', '244', '247'}","{'CASTRO', 'SERAFIM AFONSO COSTA', 'B-JAD OURO BRANCO', 'IRATI', 'PERCY GUIMARAES CLEVÉ', 'A - JAD OURO BRANCO'}","{160.0, 2400.0, 1165.6666666666667, 980.0, 1268.0, 925.6666666666666}",6
01.04.036,"{'01.04.036_GENERAL ANDRADE NEVES', '01.04.036_DUQUE DE CAXIAS', '01.04.036_PADRE ANTONIO VIEIRA', '01.04.036_RIACHUELO', '01.04.036_CAPITAO TELMO RIBEIRO'}","{'29', '18', '19', '30', '59'}","{'GENERAL ANDRADE NEVES', 'RIACHUELO', 'DUQUE DE CAXIAS', 'PADRE ANTONIO VIEIRA', 'CAPITAO TELMO RIBEIRO'}","{nan, 1122.6666666666667, 1090.0, 977.5, 59.0}",5
01.06.025,"{'01.06.025_PIONEIRO EDUIR PEREIRA DE ARAUJO', '01.06.025_MAXIMINO PEREIRA GUEDES', '01.06.025_GUAPORE', '01.06.025_SALVADOR GONCALVES PADILHA', '01.06.025_LUIZ SPIGOLON'}","{'324', '117', '263', '739', '118'}","{'LUIZ SPIGOLON', 'GUAPORE', 'PIONEIRO EDUIR PEREIRA DE ARAUJO', 'SALVADOR GONCALVES PADILHA', 'MAXIMINO PEREIRA GUEDES'}","{nan, 714.0, 176.14285714285714, 631.9230769230769, 191.0}",5
01.03.119,"{'01.03.119_HEIHACHIRO NIEKAWA', '01.03.119_JOSE DANTAS DE LIMA', '01.03.119_ANTONIO EREDIA MOLINA', '01.03.119_DAVI ALVES', '01.03.119_FRANCISCO ALVES DO NASCIMENTO'}","{'175', '177', '147', '163', '148'}","{'HEIHACHIRO NIEKAWA', 'JOSE DANTAS DE LIMA', 'ANTONIO EREDIA MOLINA', 'DAVI ALVES', 'FRANCISCO ALVES DO NASCIMENTO'}","{37.0, 43.4, 783.3333333333334, 1939.0, 2007.6}",5
01.04.173,"{'01.04.173_VISTA ALEGRE', '01.04.173_TAMBOARA', '01.04.173_CARLOS GOMES', '01.04.173_ALMIRANTE TAMANDARE', '01.04.173_INDEPENDENCIA'}","{'6', '5', '55', '34', '54'}","{'CARLOS GOMES', 'ALMIRANTE TAMANDARE', 'VISTA ALEGRE', 'TAMBOARA', 'INDEPENDENCIA'}","{1154.0, 1155.5, 15.0, 378.3333333333333, 1115.0}",5
